result_id	quantity	value	unit	source	scope_note
FS-N001	H0DN baseline H0	73.4987536436	km/s/Mpc	HTV114_CORR1	Frozen public contract
FS-N002	H0DN baseline sigma	0.8088000253	km/s/Mpc	HTV114_CORR1	Frozen public contract
FS-N003	H0DN observation covariance dimension	255	rows	HTV114_CORR1	
FS-N004	H0DN observation covariance rank	183	rank	HTV114_CORR1	Frozen representation
FS-N005	H0DN normal matrix dimension/rank	64 / 64	rank	HTV114_CORR1	
FS-N006	H0DN pinv tolerance H0 spread	0	km/s/Mpc	HTV114_CORR1	Absolute tolerance 1e-14 through 1e-7
FS-N007	H0DN max diagnostic center movement	0.35873	km/s/Mpc	HTV114_CORR1	MAS off-diagonal ablation; not alternative likelihood
FS-N008	H0DN all-host-offdiag sigma	0.55484	km/s/Mpc	HTV114_CORR1	Diagnostic rank-changing ablation
FS-N009	Pantheon V27 delta H0	-0.08752	km/s/Mpc	HTV114_CORR1	Exact public variant
FS-N010	BAO local-H0 r_d budget	about -6.8	percent	BAO/BBN bridge	Contract-dependent structural budget
FS-N011	HTS67 pooling differences	0.2900; 0.3801	dimensionless audit metrics	HTS67	Metric-convention sensitivity
FS-N012	HTS67 classification agreement	4/7	comparisons	HTS67	Canonical HOLD
FS-N013	TDCOSMO sentinel structural	3/3	files	TDCOSMO closeout	PASS
FS-N014	TDCOSMO sentinel quantiles	9/9	quantiles	TDCOSMO closeout	Exact
FS-N015	TDCOSMO extension structural	13/13	files	TDCOSMO closeout	PASS
FS-N016	TDCOSMO extension quantiles	39/39	quantiles	TDCOSMO closeout	Within frozen tolerance
FS-N017	TDCOSMO exact binary64 after TSV	32/39	quantiles	TDCOSMO closeout	Seven final-digit differences
FS-N018	TDCOSMO maximum absolute delta	1.4210854715202004e-14	H0 numeric units	TDCOSMO closeout	PASS
FS-N019	TDCOSMO Table 6 published precision	12/12	rows	TDCOSMO closeout	PASS
