quantity	value	scope
profile_mode_H0	67.524676358633	DESI DR2 + BBN + projected Planck
posterior_product_H0_mean	67.513637978491	HTS16 reweighted by projected Planck
posterior_product_H0_sigma	0.947663722495	same
posterior_product_Neff_mean	2.962871881511	same
posterior_product_Neff_sigma	0.142009227113	same
local_standardized_difference	4.194528578288	1D Gaussian observational-independence display
local_forced_delta_chi2	44.033150307331	profile; excludes local uncertainty
local_forced_planck_fraction	0.557298346299	incremental penalty fraction
local_forced_bbn_fraction	0.413146156129	incremental penalty fraction
local_forced_bao_fraction	0.029555497572	incremental penalty fraction
