metric	value	unit_or_scope
Planck_published_K	101.056	Mpc
Planck_published_K_sigma	0.036	Mpc
calibrated_model_K	101.038808367	Mpc
model_minus_published_K	-0.0171916333277	Mpc
model_K_residual_sigma	-0.477545370214	Planck K sigma
published_invariant_local_tangent_slope	-125.715170925	Mpc per delta Omega_m
published_invariant_tangent_angle_to_HTS23	1.81108050327	degree
predicted_secant_axis_x	0.538687475615	DESI normalized
predicted_secant_axis_y	-0.842505669782	DESI normalized
predicted_secant_axis_angle_to_HTS23	0.198623756684	degree
predicted_secant_axis_first_fraction	0.999917485549	fraction
predicted_secant_physical_slope	-133.655638745	Mpc per delta Omega_m
observed_HTS23_physical_slope	-134.663400628	Mpc per delta Omega_m
predicted_vs_observed_slope_fractional_difference	-0.00748356181473	fraction
max_endpoint_prediction_residual	0.0758490044217	Mpc
max_endpoint_prediction_residual_DESI_sigma	0.103505737475	DESI marginal sigma
