treatment	excluded	median_H0	plus68	minus68	avg_halfwidth	median_shift_from_all	abs_shift	standardized_shift_by_all_width	width_change_percent
T1_fixed_250	UGC 3789	75.8	3.4	3.3	3.3499999999999996	1.8999999999999915	1.8999999999999915	0.6333333333333305	11.666666666666647
T1_fixed_250	NGC 6264	73.8	3.2	3.2	3.2	-0.10000000000000853	0.10000000000000853	0.03333333333333618	6.666666666666665
T1_fixed_250	NGC 6323	73.8	3.1	3.0	3.05	-0.10000000000000853	0.10000000000000853	0.03333333333333618	1.6666666666666607
T1_fixed_250	NGC 5765b	74.1	4.5	4.4	4.45	0.19999999999998863	0.19999999999998863	0.06666666666666288	48.33333333333334
T1_fixed_250	CGCG 074-064	72.5	3.4	3.2	3.3	-1.4000000000000057	1.4000000000000057	0.46666666666666856	9.999999999999986
T1_fixed_250	NGC 4258	73.6	3.1	3.0	3.05	-0.30000000000001137	0.30000000000001137	0.1000000000000038	1.6666666666666607
T2_fit_sigma_pec	UGC 3789	76.4	4.2	3.8	4.0	2.0	2.0	0.547945205479452	9.589041095890405
T2_fit_sigma_pec	NGC 6264	74.4	4.4	3.8	4.1	0.0	0.0	0.0	12.328767123287655
T2_fit_sigma_pec	NGC 6323	74.5	4.0	3.6	3.8	0.09999999999999432	0.09999999999999432	0.027397260273971047	4.109589041095885
T2_fit_sigma_pec	NGC 5765b	75.8	6.6	5.6	6.1	1.3999999999999915	1.3999999999999915	0.3835616438356141	67.12328767123287
T2_fit_sigma_pec	CGCG 074-064	73.1	4.3	3.9	4.1	-1.3000000000000114	1.3000000000000114	0.356164383561647	12.328767123287655
T2_fit_sigma_pec	NGC 4258	74.2	4.5	3.7	4.1	-0.20000000000000284	0.20000000000000284	0.05479452054794599	12.328767123287655
T3_group_velocity	UGC 3789	75.0	3.1	3.0	3.05	1.7000000000000028	1.7000000000000028	0.6181818181818192	10.909090909090914
T3_group_velocity	NGC 6264	73.1	2.8	2.7	2.75	-0.20000000000000284	0.20000000000000284	0.07272727272727376	0.0
T3_group_velocity	NGC 6323	73.2	2.8	2.7	2.75	-0.09999999999999432	0.09999999999999432	0.036363636363634294	0.0
T3_group_velocity	NGC 5765b	72.2	4.2	4.1	4.15	-1.0999999999999943	1.0999999999999943	0.3999999999999979	50.90909090909093
T3_group_velocity	CGCG 074-064	73.3	3.1	3.0	3.05	0.0	0.0	0.0	10.909090909090914
T3_group_velocity	NGC 4258	72.8	2.8	2.7	2.75	-0.5	0.5	0.18181818181818182	0.0
T4_2Mpp	UGC 3789	73.3	3.0	3.0	3.0	1.5	1.5	0.5555555555555555	11.111111111111093
T4_2Mpp	NGC 6264	71.8	2.8	2.8	2.8	0.0	0.0	0.0	3.703703703703698
T4_2Mpp	NGC 6323	71.9	2.8	2.7	2.75	0.10000000000000853	0.10000000000000853	0.03703703703704019	1.8518518518518379
T4_2Mpp	NGC 5765b	71.1	4.0	3.9	3.95	-0.7000000000000028	0.7000000000000028	0.2592592592592603	46.296296296296305
T4_2Mpp	CGCG 074-064	70.9	3.0	2.9	2.95	-0.8999999999999915	0.8999999999999915	0.33333333333333015	9.259259259259256
T4_2Mpp	NGC 4258	72.1	2.7	2.7	2.7	0.29999999999999716	0.29999999999999716	0.11111111111111005	0.0
T5_CF3	UGC 3789	73.6	3.1	2.9	3.0	1.7999999999999972	1.7999999999999972	0.6792452830188668	13.207547169811296
T5_CF3	NGC 6264	71.5	2.8	2.7	2.75	-0.29999999999999716	0.29999999999999716	0.11320754716981023	3.7735849056603543
T5_CF3	NGC 6323	71.7	2.8	2.6	2.7	-0.09999999999999432	0.09999999999999432	0.03773584905660162	1.8867924528301883
T5_CF3	NGC 5765b	71.5	4.1	4.0	4.05	-0.29999999999999716	0.29999999999999716	0.11320754716981023	52.830188679245246
T5_CF3	CGCG 074-064	70.5	3.0	2.9	2.95	-1.2999999999999972	1.2999999999999972	0.4905660377358479	11.32075471698113
T5_CF3	NGC 4258	72.0	2.7	2.7	2.7	0.20000000000000284	0.20000000000000284	0.07547169811320861	1.8867924528301883
T6_M2000	UGC 3789	79.3	3.3	3.1	3.2	2.3999999999999915	2.3999999999999915	0.8275862068965488	10.344827586206895
T6_M2000	NGC 6264	76.8	2.9	2.9	2.9	-0.10000000000000853	0.10000000000000853	0.0344827586206926	0.0
T6_M2000	NGC 6323	76.9	2.9	2.9	2.9	0.0	0.0	0.0	0.0
T6_M2000	NGC 5765b	76.2	4.3	4.1	4.199999999999999	-0.7000000000000028	0.7000000000000028	0.24137931034482857	44.82758620689653
T6_M2000	CGCG 074-064	75.5	3.2	3.0	3.1	-1.4000000000000057	1.4000000000000057	0.48275862068965714	6.896551724137945
T6_M2000	NGC 4258	76.8	2.9	2.9	2.9	-0.10000000000000853	0.10000000000000853	0.0344827586206926	0.0
