quantity	value	scope
O1 H0	73.11	MW/LMC/SMC + Cepheids + SN Ia + Coma FP
O1 sigma	0.92	published conditional uncertainty
O2 H0	73.451	NGC4258 + TRGB + SBF + megamasers
O2 sigma	1.777	published conditional uncertainty
O1-O2 descriptive independent difference	0.17041206875691337	paper-compatible display statistic
inverse-variance weighted mean	73.18208119418729	licensed only because paths were constructed data-orthogonal
weighted-mean sigma	0.8169984354444492	conditional on path independence contract
O1 inverse-variance weight fraction	0.7886181988642224	shows precision dominance
O2 inverse-variance weight fraction	0.21138180113577762	shows precision dominance
baseline minus orthogonal weighted mean	0.3169188058127048	not a significance test; baseline overlaps data
O1 vs Planck+SPT+ACT flat LCDM Gaussian display	5.96346429424108	not a systematic-robust significance
O2 vs Planck+SPT+ACT flat LCDM Gaussian display	3.4293313314055416	not a systematic-robust significance
O1+O2 vs Planck+SPT+ACT flat LCDM Gaussian display	6.685421019402713	not a systematic-robust significance
O1 vs BBN+DESI-DR2 BAO flat LCDM Gaussian display	4.229628012978257	not a systematic-robust significance
O2 vs BBN+DESI-DR2 BAO flat LCDM Gaussian display	2.643293491072814	not a systematic-robust significance
O1+O2 vs BBN+DESI-DR2 BAO flat LCDM Gaussian display	4.663028682376977	not a systematic-robust significance
