host	shared_supernovae	SH0ES_R22_Cepheid_mu_SN_independent	SH0ES_table_sigma_without_full_offdiagonal_use	CCHP_JWST_TRGB_mu_nominal	CCHP_stat_sigma_excluding_common_zero_point	delta_mu_CCHP_minus_SH0ES	diagonal_combined_sigma_diagnostic	diagonal_z_diagnostic	distance_ratio_CCHP_over_SH0ES	formal_significance
M101	SN 2011fe	29.178	0.041	29.151	0.042	-0.027000000000001023	0.05869412236331675	-0.4600119894948077	0.9876430227771059	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 1365	SN 2012fr	31.378	0.056	31.366	0.069	-0.012000000000000455	0.08886506625215558	-0.1350361903287207	0.994489037154792	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 2442	SN 2015F	31.45	0.064	31.646	0.097	0.1960000000000015	0.11621101496846158	1.6865871109824986	1.09446026781508	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 3972	SN 2011by	31.635	0.089	31.747	0.068	0.11199999999999832	0.1120044641967453	0.999960142689142	1.0529312128434385	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 4038	SN 2007sr	31.603	0.116	31.645	0.078	0.04199999999999804	0.13978555004005244	0.30046024061831766	1.0195299775626017	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 4424	SN 2012cg	30.844	0.128	30.926	0.03	0.08199999999999719	0.13146862743635837	0.623722948957476	1.0384844550082726	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 4536	SN 1981B	30.835	0.05	30.923	0.052	0.08799999999999741	0.07213875518748573	1.219871340603105	1.0413578615284333	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 4639	SN 1990N	31.812	0.084	31.774	0.073	-0.038000000000000256	0.11128791488746656	-0.3414566625533918	0.9826525828295316	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 5643	SN 2013aa; SN 2017cbv	30.546	0.052	30.643	0.071	0.09700000000000131	0.08800568163476719	1.10220156469626	1.0456828853581384	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
NGC 7250	SN 2013dy	31.628	0.125	31.629	0.047	0.0010000000000012221	0.1335440002396214	0.007488168680037266	1.0004606230728408	NOT_COMPUTED_WITHOUT_JOINT_COVARIANCE
