edge	burn_fraction_per_chain	conditional4d_mahalanobis_difference	conditional_fraction_difference	baryon_tilt_share_difference	order_sensitivity_difference	max_canonical_correlation_difference	arithmetic_classification	precision_mean_classification	classification_stable
BASE_TO_ACT	0.3	1.2632474772275075	0.019167934408457876	0.06593142176693934	0.00864342074010599	-0.0324170228121754	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_ACT	0.5	1.2885133062241043	0.023955956996993377	0.06500296408118722	-0.0069917094210859565	-0.038569127461194785	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_PR4	0.3	1.8418705312913308	0.04476403120908223	0.28800239492798574	-0.31758047539078543	-0.29339218065118255	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	False
BASE_TO_PR4	0.5	1.8495549234125255	0.05181892316834491	0.2900435234426087	-0.32637104288881336	-0.3042210952190433	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	False
BASE_TO_FULL_ORIGINAL	0.3	3.687045932340587	0.10333227352019125	0.20557506634186812	-0.38014338117407437	-0.300158313378273	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	False
BASE_TO_FULL_ORIGINAL	0.5	3.6017419327982108	0.10844357067826249	0.20522032547824948	-0.3795990351131553	-0.30738972331897	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	False
BASE_TO_FULL_FIXED	0.3	3.1912776692418015	0.10375258604687576	0.2535255793276723	-0.3179046187151532	-0.3009765529661448	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	False
BASE_TO_FULL_FIXED	0.5	3.3174132096540636	0.11586922966212909	0.26210208457452755	-0.3343823274558314	-0.30391973892778434	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	False
ACT_TO_FULL_FIXED	0.3	0.48194287584812967	0.06798138910673535	0.027971724719643043	-0.025508435035956966	-0.1360278304673474	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
ACT_TO_FULL_FIXED	0.5	0.48445172994555463	0.0708670861860698	0.031179577257029245	-0.02884063197864367	-0.13603176110253296	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
PR4_TO_FULL_FIXED	0.3	0.06225523330451077	0.012310269650401384	-6.253699421754355e-06	0.0002353179175712712	0.007402049467953892	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
PR4_TO_FULL_FIXED	0.5	0.06462733241702434	0.012911987297844485	0.000259659172995641	0.000723354113194373	0.009835986386283357	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
ORIGINAL_TO_FIXED_RELEASE	0.3	0.011377267365316635	0.007323160922740102	-0.03408813828291246	0.01857249240541091	0.01613629560523644	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	True
ORIGINAL_TO_FIXED_RELEASE	0.5	0.012581809303396752	0.0074340824019780705	-0.034687093526963586	0.016256699988462894	0.014948976195225727	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	True
