release_model_id	model_label	paper_table_row	h0_median	h0_lower_error_magnitude	h0_upper_error_magnitude	paper_identifier	paper_version	transcription_method	source_location
ULambdaCDM1	UΛCDM1	Table 6: UΛCDM1	73.7	4.4	4.7	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
ULambdaCDM2	UΛCDM2	Table 6: UΛCDM2	76.8	4.6	3.9	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
ULambdaCDM3	UΛCDM3	Table 6: UΛCDM3	74.2	4.5	4.6	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
ULambdaCDM4	UΛCDM4	Table 6: UΛCDM4	77.8	4.7	3.7	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM1a	ΛCDM1a	Table 6: ΛCDM1a	71.6	3.3	3.9	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM1b	ΛCDM1b	Table 6: ΛCDM1b	74.1	3.3	3.6	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM1c	ΛCDM1c	Table 6: ΛCDM1c	72.1	3.4	3.6	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM1d	ΛCDM1d	Table 6: ΛCDM1d	74.3	3.7	3.1	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM2a	ΛCDM2a	Table 6: ΛCDM2a	71.2	3.6	3.7	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM2d	ΛCDM2b	Table 6: ΛCDM2b	73.9	3.0	3.4	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM3a	ΛCDM3a	Table 6: ΛCDM3a	72.4	3.6	3.9	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
LambdaCDM3b	ΛCDM3b	Table 6: ΛCDM3b	74.8	3.4	3.5	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7
