filename	sha256	size_bytes	hdf5_open_pass	dataset_keys	sample_rows	sample_columns	parameter_count	parameters_unique	shape_parameter_match	all_finite	model_id	model_id_matches_filename	dataset_attribute	description_present	weights_present	log_probability_present	walker_or_chain_metadata_present
LambdaCDM1a.h5	c46bf18d72b03835c1c1cc9bc5b38a752e3e3185d5beaf3833fe750e6c6ef161	6645670	True	parameters|samples	500000	8	8	True	True	True	LambdaCDM1a	True	TDCOSMO + Pantheon+	True	False	False	False
LambdaCDM1b.h5	5a04e219bbabfc8d16b3448731a35d592d4bd132e30ddf75fb8dde6659ab2acd	3171184	True	parameters|samples	500000	19	19	True	True	True	LambdaCDM1b	True	TDCOSMO + Pantheon+ + SLACS	True	False	False	False
LambdaCDM1c.h5	13bbdbc41758389cec1c21e0ee649a48cac82a6b38ce2052310cea9ba99841bf	6809520	True	parameters|samples	500000	8	8	True	True	True	LambdaCDM1c	True	TDCOSMO + Pantheon+ + SL2S	True	False	False	False
LambdaCDM1d.h5	14a7e790fd91386cd97cb26690b5a9fc8269488fbb440890ba3e3d97c361d7b8	3257766	True	parameters|samples	500000	19	19	True	True	True	LambdaCDM1d	True	TDCOSMO + Pantheon+ + SLACS + SL2S	True	False	False	False
LambdaCDM2a.h5	2d4dd6ea2370f190fcb8a695d003b3337f7c0f0b6d4d8f9f73d1908bb8d57be7	6662163	True	parameters|samples	500000	8	8	True	True	True	LambdaCDM2a	True	TDCOSMO + DES-SN5YR	True	False	False	False
LambdaCDM2b.h5	93387730574ff82d5c03326eb1e69bf97d1c783221d19842383755376aabbea9	3070859	True	parameters|samples	500000	19	19	True	True	True	LambdaCDM2b	True	TDCOSMO + DES-SN5YR + SLACS	True	False	False	False
LambdaCDM2c.h5	808dc197fcc7fa695f6f27fcfa87964b99510dfc03e12af71e26fcd606cb7296	6772474	True	parameters|samples	500000	8	8	True	True	True	LambdaCDM2c	True	TDCOSMO + DES-SN5YR + SL2S	True	False	False	False
LambdaCDM2d.h5	e62c0fb6877809efb36ea415e40566a676a93d76a7bcc6152ee8f114ae6b4ee6	3334348	True	parameters|samples	500000	19	19	True	True	True	LambdaCDM2d	True	TDCOSMO + DES-SN5YR + SLACS + SL2S	True	False	False	False
LambdaCDM3a.h5	ed7e069c4c5f2b33552649dd508a43c900da831e000475dfd0486ec1d0768bb6	6950406	True	parameters|samples	500000	9	9	True	True	True	LambdaCDM3a	True	TDCOSMO + DESI BAO	True	False	False	False
LambdaCDM3b.h5	4a745a04110f4443766449c438d0ca129d63cd0ce08ab32053b277e030139435	3361146	True	parameters|samples	500000	20	20	True	True	True	LambdaCDM3b	True	TDCOSMO + DESI BAO + SLACS + SL2S	True	False	False	False
ULambdaCDM1.h5	96f96ca0c1eb2ad8b7fd1bba0f7ea7c945179c3e553d03322eeee0a8ec632af3	6364557	True	parameters|samples	500000	8	8	True	True	True	ULambdaCDM1	True	TDCOSMO	True	False	False	False
ULambdaCDM2.h5	a4d8f3f08e7d59841f5272e705a5216269473d2f2504672cf4640d35153c0a9c	3107119	True	parameters|samples	500000	19	19	True	True	True	ULambdaCDM2	True	TDCOSMO + SLACS	True	False	False	False
ULambdaCDM3.h5	4daf0cc6d276aefb3a5e1e45f9a9d0346b1ad163b00377bf82d7bd18b32f2022	6328053	True	parameters|samples	500000	8	8	True	True	True	ULambdaCDM3	True	TDCOSMO + SL2S	True	False	False	False
ULambdaCDM4.h5	f5ffc0a6ccd47ee81c81bba66eb61ea6c58db4aed15801622152e6b584323626	3123352	True	parameters|samples	500000	19	19	True	True	True	ULambdaCDM4	True	TDCOSMO + SLACS + SL2S	True	False	False	False
UoLambdaCDM.h5	caff596a1396d7e34b4c99b9231d7a65c5a5e3ccad52b80d494001289341fd18	3125538	True	parameters|samples	500000	20	20	True	True	True	UoLambdaCDM	True	TDCOSMO + SLACS + SL2S	True	False	False	False
UwCDM.h5	4eda5aaa14ea4acdcbe53e75d37614771e10f47e69a3bd2d5f7c9e878c35710c	3317970	True	parameters|samples	500000	20	20	True	True	True	UwCDM	True	TDCOSMO + SLACS + SL2S	True	False	False	False
Uw_0w_aCDM.h5	657d93b7c0fa4df2eb8e1b374c9061964df1d7e26f166b13794d241178fb316c	3612834	True	parameters|samples	500000	21	21	True	True	True	Uw_0w_aCDM	True	TDCOSMO + SLACS + SL2S	True	False	False	False
Uw_phiCDM.h5	27dc48414a1b429ee61f084f7d53de2f782848c37b2f43ddcdde5948d2cb6111	3566605	True	parameters|samples	500000	21	21	True	True	True	Uw_phiCDM	True	TDCOSMO + SLACS + SL2S	True	False	False	False
oLambdaCDM.h5	d1d4ce10c4bd0fcf6f31328679a0b6b0c27bbb9b9e6abed36efb0dfc7bab908a	2648597	True	parameters|samples	500000	20	20	True	True	True	oLambdaCDM	True	TDCOSMO + \textit{Planck} + SLACS + SL2S	True	False	False	False
wCDM1.h5	b277a3bf5da1983c4852cfd6f63efe8a0e211b32b163d8651a9492abb98e348a	3124224	True	parameters|samples	500000	20	20	True	True	True	wCDM1	True	TDCOSMO + \textit{Planck} + SLACS + SL2S	True	False	False	False
wCDM2.h5	07d44238d213ed7237cca6ca8fa9d42c8644936b78156838fc8940d95390e2fa	3591372	True	parameters|samples	500000	21	21	True	True	True	wCDM2	True	TDCOSMO + DESI BAO + SLACS + SL2S	True	False	False	False
wCDM3.h5	2ecfa671db610a9ed0c06026a44fde0e75ca055e0647b0a6f24c3f7983d32040	3310608	True	parameters|samples	500000	20	20	True	True	True	wCDM3	True	TDCOSMO + Pantheon+ + SLACS + SL2S	True	False	False	False
w_0w_aCDM1.h5	1b41f39c3f4b04cfdc1713108879c2a4e9df342c4f1467cd2ec6fe58d44ef575	2974069	True	parameters|samples	500000	21	21	True	True	True	w_0w_aCDM1	True	TDCOSMO + \textit{Planck} + SLACS + SL2S	True	False	False	False
w_0w_aCDM2.h5	2ab389b10986930a8b8b7953c35f479242a67d35f995d6e04ade2ce52118cff8	3692506	True	parameters|samples	500000	22	22	True	True	True	w_0w_aCDM2	True	TDCOSMO + DESI BAO + SLACS + SL2S	True	False	False	False
w_0w_aCDM3.h5	ac2f67dd93bb495c59f76a63361d575bd1befb87604e3ce1543434ee4f68e473	3373435	True	parameters|samples	500000	21	21	True	True	True	w_0w_aCDM3	True	TDCOSMO + Pantheon+ + SLACS + SL2S	True	False	False	False
w_0w_aCDM4.h5	bf8e555f08e886763a1e0aef99a5d55b9d0dd6c16f71d8421d80f584d429e7ee	3641284	True	parameters|samples	500000	22	22	True	True	True	w_0w_aCDM4	True	TDCOSMO + DESI BAO + Pantheon+ + SLACS + SL2S	True	False	False	False
w_phiCDM1.h5	61819e1803e714047c7e31cc1ceb9d8cea3836c8fa67d7e0ecdeb4b1eed0c9ef	3019309	True	parameters|samples	500000	21	21	True	True	True	w_phiCDM1	True	TDCOSMO + \textit{Planck} + SLACS + SL2S	True	False	False	False
w_phiCDM2.h5	7526a5dc3b8430e77a0833572db21b497a889c634636f6710ed2acb30721288c	3870688	True	parameters|samples	500000	22	22	True	True	True	w_phiCDM2	True	TDCOSMO + DESI BAO + SLACS + SL2S	True	False	False	False
