source_type	repository_or_record	commit_or_record	path_or_identifier	git_blob_sha1	local_sha256	local_bytes	included_in_master	locally_byte_verified	decision_role	verification_basis
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/README	3d6666cb5393396e51a906ce16f65cad02d35f96	0ee97297352a5ba4cd8103b21ffded8f9f01db75db93e193957dc05fdb195ac7	559	YES	YES	Distinguishes 10 public simulations from approximately 2 GB BiasCor files available by contact.	independent_download_and_git_blob_recalculation
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/README	3eccc989ac631fb936be0b0c653121e8e4ba98f0	925195f62eed222c97c4106c5f3ff0c059899c4eab186c447cd82ac00a732070	237	YES	YES	Defines public simulations as 10 LambdaCDM/BS21 realizations with photometry and LCFITS.	independent_download_and_git_blob_recalculation
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/7_PIPPIN/PPLUS.yml	301687df0485283ab630544b9498b7f080a53578	869ee1b5fdeedfdcde094e5162355322e9fe00eec5010ea2aed81ef1993050d8	142395	YES	YES	Shows multiple BiasCor families and unresolved external/PIPPIN paths.	independent_download_and_git_blob_recalculation
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/README	8d2d0b9af0633573b4d1c190e44adcd135bbec85	e2b0d262757f01c1794a938c78d32600a21e289b2a0320e5c660c4c6fc9aa87e	4056	YES	YES	Defines final nominal real-data vector and covariance products.	independent_download_and_git_blob_recalculation
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/Pantheon+SH0ES.dat	cce857db0c15e9ce7a0e0ce77452b6ff62af969a	1cb0fc379ef066afdc2ffd1857681cc478024570d8a3eba284fb645775198cf8	579283	YES	YES	Shows final real-data mB, m_b_corr, and biasCor_m_b fields; not a paired simulation closure product.	independent_download_and_git_blob_recalculation
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/Pantheon+SH0ES_STATONLY.cov	bd0fef3f25150a3aee5100b3f35c895cbdf63235			NO	NO	Nominal real-data statistical covariance; not a simulated closure covariance.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/Pantheon+SH0ES_STAT+SYS.cov	d1a1498154e7ba826df14bdbef35ebcb7f5efba1			NO	NO	Nominal real-data statistical+systematic covariance; not a simulated closure covariance.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0001.FITRES.gz	b1c32506b28fe8368acd6456eaea3b63e788f836			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0002.FITRES.gz	6b95adb2f43eda13d7de8325d1dc22832fa949e3			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0003.FITRES.gz	bdc2c5c8296e18ee4c9c8680aeaf083501e228cd			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0004.FITRES.gz	04a82465f2995125856acc3ea2a9e0ad82f8a929			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0005.FITRES.gz	2388e139bcfbfe94718a1579ad48e21be28b1fbc			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0006.FITRES.gz	070f6a841433b3f3bff9d0f14a2d54f5e50c9674			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0007.FITRES.gz	d624808365ee262e56908ff8f633a0943d931267			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0008.FITRES.gz	d2435b98189273c98071b50830012fc3cc8cf679			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
github_file	PantheonPlusSH0ES/DataRelease	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/6_SIMULATIONS/LCFITS/SIM_0009.FITRES.gz	1e4db19244f3d972682c230a91ae65b1078c4804			NO	NO	Public data-sized simulation LCFIT; does not establish mapping to the approximately 2 GB BiasCor training products or BBC pre/post closure vectors.	work_report_blob_register_only
