metric_id	value	unit_or_scope	source_branch
B01_GWTC4_HEADLINE	76.6 +13.0/-9.5	km/s/Mpc	B01
B01_GWTC5_HEADLINE	71.0 +9.0/-7.1	km/s/Mpc	B01
B01_HEADLINE_PAIR_REDUCTION	28.547849160512239	percent diagnostic only	B01
B01_PUBLISHED_METRIC	25.7	percent; provenance hold	B01
B03A_BASELINE_H0	73.49875364360662	km/s/Mpc	B03A
B03A_BASELINE_SIGMA_H0	0.8088000253378453	km/s/Mpc	B03A
B03A_COVARIANCE_RANK	183	count	B03A
B03A_COVARIANCE_NULLITY	72	count	B03A
B03A_ROW_STANDARDIZED_DELTA_H0	-0.052445422611000936	km/s/Mpc	B03A
B03A_P0Y_L2	0.1887490826897376	mag	B03A
B03A_EXPLORATORY_REML_TAU	0.02224361888241836	mag; exploratory only	B03A
B03A_EXPLORATORY_DELTA_H0	-0.00442767247672	km/s/Mpc; exploratory only	B03A
B03B_OBJECT_COUNT	277	rows	B03B
B03B_A_B	0.7163834210954622	intercept	B03B
B03B_OMITTED_CHI2_CONSTANT	206.76063643732414	chi2	B03B
B03B_DUPLICATE_CONTRAST_CHI2	11.209315063602752	chi2 / 39df	B03B
B03B_STATONLY_CHI2	16.233447508593247	chi2 / 39df	B03B
B03B_STATONLY_P	4.856832550848106e-04	probability	B03B
B03B_MULTIROW_GROUPS	30	groups	B03B
B03B_MULTIROW_ROWS	69	rows	B03B
B03B_COVARIANCE_EXACT_ELEMENTS	76729/76729	elements	B03B
B03B_PUBLIC_INPUT_COVERAGE	69/69	rows across Phase1D+1E	B03B
B03B_BYTE_EXACT_OBS_POSITIVE	0/48	same-CID pairs	B03B
B03B_SINGLE_NUMERIC_COMPATIBILITY	4/48	same-CID pairs	B03B
B03B_FILTER_MAP	434/434	row-filter records	B03B
B03B_OBS_COVERAGE	6744/6744	observations	B03B
