filename	size_bytes	sha256	source_release	source_commit
ULambdaCDM1.h5	6364557	96f96ca0c1eb2ad8b7fd1bba0f7ea7c945179c3e553d03322eeee0a8ec632af3	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
ULambdaCDM2.h5	3107119	a4d8f3f08e7d59841f5272e705a5216269473d2f2504672cf4640d35153c0a9c	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
ULambdaCDM3.h5	6328053	4daf0cc6d276aefb3a5e1e45f9a9d0346b1ad163b00377bf82d7bd18b32f2022	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
ULambdaCDM4.h5	3123352	f5ffc0a6ccd47ee81c81bba66eb61ea6c58db4aed15801622152e6b584323626	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM1a.h5	6645670	c46bf18d72b03835c1c1cc9bc5b38a752e3e3185d5beaf3833fe750e6c6ef161	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM1b.h5	3171184	5a04e219bbabfc8d16b3448731a35d592d4bd132e30ddf75fb8dde6659ab2acd	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM1c.h5	6809520	13bbdbc41758389cec1c21e0ee649a48cac82a6b38ce2052310cea9ba99841bf	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM1d.h5	3257766	14a7e790fd91386cd97cb26690b5a9fc8269488fbb440890ba3e3d97c361d7b8	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM2a.h5	6662163	2d4dd6ea2370f190fcb8a695d003b3337f7c0f0b6d4d8f9f73d1908bb8d57be7	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM2b.h5	3070859	93387730574ff82d5c03326eb1e69bf97d1c783221d19842383755376aabbea9	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM2d.h5	3334348	e62c0fb6877809efb36ea415e40566a676a93d76a7bcc6152ee8f114ae6b4ee6	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM3a.h5	6950406	ed7e069c4c5f2b33552649dd508a43c900da831e000475dfd0486ec1d0768bb6	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
LambdaCDM3b.h5	3361146	4a745a04110f4443766449c438d0ca129d63cd0ce08ab32053b277e030139435	TDCOSMO2025_public	d7f38db341f68be1df0d9ac1fc528c45113f94cf
