release_model_id	model_label	paper_table_row	h0_median	h0_lower_error_magnitude	h0_upper_error_magnitude	paper_identifier	paper_version	transcription_method	source_location	filename	q16	q50	q84	computed_h0_median_1dp	computed_lower_error_1dp	computed_upper_error_1dp	median_matches_table6	lower_error_matches_table6	upper_error_matches_table6	all_published_values_match
ULambdaCDM1	UΛCDM1	Table 6: UΛCDM1	73.7	4.4	4.7	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	ULambdaCDM1.h5	69.30625965684794	73.73600566934958	78.44622625286468	73.7	4.4	4.7	True	True	True	True
ULambdaCDM2	UΛCDM2	Table 6: UΛCDM2	76.8	4.6	3.9	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	ULambdaCDM2.h5	72.17973679017769	76.7873553154126	80.66073789561156	76.8	4.6	3.9	True	True	True	True
ULambdaCDM3	UΛCDM3	Table 6: UΛCDM3	74.2	4.5	4.6	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	ULambdaCDM3.h5	69.67993581302176	74.1625779148141	78.80641070366445	74.2	4.5	4.6	True	True	True	True
ULambdaCDM4	UΛCDM4	Table 6: UΛCDM4	77.8	4.7	3.7	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	ULambdaCDM4.h5	73.06471672697174	77.76862477642288	81.41925198989233	77.8	4.7	3.7	True	True	True	True
LambdaCDM1a	ΛCDM1a	Table 6: ΛCDM1a	71.6	3.3	3.9	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	LambdaCDM1a.h5	68.30425450102933	71.63720749510438	75.5313780781816	71.6	3.3	3.9	True	True	True	True
LambdaCDM1b	ΛCDM1b	Table 6: ΛCDM1b	74.1	3.3	3.6	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	LambdaCDM1b.h5	70.78903162006037	74.12682010042991	77.7163044118772	74.1	3.3	3.6	True	True	True	True
LambdaCDM1c	ΛCDM1c	Table 6: ΛCDM1c	72.1	3.4	3.6	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	LambdaCDM1c.h5	68.6939866862687	72.105835727915	75.71279899123545	72.1	3.4	3.6	True	True	True	True
LambdaCDM1d	ΛCDM1d	Table 6: ΛCDM1d	74.3	3.7	3.1	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	LambdaCDM1d.h5	70.5669583833899	74.27098479315104	77.33897059406688	74.3	3.7	3.1	True	True	True	True
LambdaCDM2a	ΛCDM2a	Table 6: ΛCDM2a	71.2	3.6	3.7	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	LambdaCDM2a.h5	67.64943008779835	71.22148515241577	74.89397932651174	71.2	3.6	3.7	True	True	True	True
LambdaCDM2d	ΛCDM2b	Table 6: ΛCDM2b	73.9	3.0	3.4	arXiv:2506.03023	NOT_RECORDED_IN_ORIGINAL_HTS68	MANUAL_TRANSCRIPTION_RETAINED_FROM_ORIGINAL_HTS68_CODE_NOT_PDF_PARSED	arXiv:2506.03023 Table 6; original frozen PDF SHA256=e94a728864f3afe9cc7672b97918ff366863a55df183ba116c3ceff526a7f5c7	LambdaCDM2d.h5	70.89896033706651	73.92067130343608	77.2970415392265	73.9	3.0	3.4	True	True	True	True
