h0dn_row_1based	official_row_1based	CID	IDSURVEY	final_dependency_classification
1	342	2009cz	56	COVARIANCE_DIAGONAL_REQUIRED
2	343	2009cz	5	COVARIANCE_DIAGONAL_REQUIRED
3	344	ASASSN-15nr	150	CATALOG_ONLY_UNIQUE
4	345	2004bk	57	CATALOG_ONLY_UNIQUE
5	347	2007qe	57	CATALOG_ONLY_UNIQUE
6	348	2007qe	64	CATALOG_ONLY_UNIQUE
7	349	ATLAS17bas	150	CATALOG_ONLY_UNIQUE
8	350	ASASSN-15tz	150	CATALOG_ONLY_UNIQUE
9	351	2010ao	51	CATALOG_ONLY_UNIQUE
10	352	2006sr	64	CATALOG_ONLY_UNIQUE
11	355	2000ca	50	CATALOG_ONLY_UNIQUE
12	357	PS1-14xw	56	CATALOG_ONLY_UNIQUE
13	359	2000bh	50	CATALOG_ONLY_UNIQUE
14	360	2007F	51	CATALOG_ONLY_UNIQUE
15	361	2007F	64	CATALOG_ONLY_UNIQUE
16	364	2006ac	57	CATALOG_ONLY_UNIQUE
17	365	2006ac	64	CATALOG_ONLY_UNIQUE
18	366	ASASSN-15sf	150	CATALOG_ONLY_UNIQUE
19	367	2005bg	5	CATALOG_ONLY_UNIQUE
20	368	2009D	5	CATALOG_ONLY_UNIQUE
21	369	2009D	51	CATALOG_ONLY_UNIQUE
22	370	2009D	65	CATALOG_ONLY_UNIQUE
23	371	PS16ccn	150	CATALOG_ONLY_UNIQUE
24	377	ASASSN-16hz	150	CATALOG_ONLY_UNIQUE
25	378	2003he	57	CATALOG_ONLY_UNIQUE
26	379	2001cj	57	CATALOG_ONLY_UNIQUE
27	380	Gaia16agf	150	CATALOG_ONLY_UNIQUE
28	381	2007cq	56	CATALOG_ONLY_UNIQUE
29	382	2007cq	64	CATALOG_ONLY_UNIQUE
30	383	2003it	63	CATALOG_ONLY_UNIQUE
31	384	2007cq	57	CATALOG_ONLY_UNIQUE
32	386	2011dn	56	CATALOG_ONLY_UNIQUE
33	387	2007sw	65	CATALOG_ONLY_UNIQUE
34	388	2012bh	51	CATALOG_ONLY_UNIQUE
35	394	2002bf	50	CATALOG_ONLY_UNIQUE
36	396	PS15ahs	150	CATALOG_ONLY_UNIQUE
37	397	PSNJ0153424	150	CATALOG_ONLY_UNIQUE
38	398	SN2017hn	150	CATALOG_ONLY_UNIQUE
39	400	SN2017ms	150	CATALOG_ONLY_UNIQUE
40	402	2005M	57	CATALOG_ONLY_UNIQUE
41	403	2005M	5	CATALOG_ONLY_UNIQUE
42	404	2005M	64	CATALOG_ONLY_UNIQUE
43	405	SN2017mf	150	CATALOG_ONLY_UNIQUE
44	409	2005ms	64	CATALOG_ONLY_UNIQUE
45	410	1999gp	62	CATALOG_ONLY_UNIQUE
46	411	1999gp	57	CATALOG_ONLY_UNIQUE
47	413	ASASSN-17at	150	CATALOG_ONLY_UNIQUE
48	415	2013fn	56	CATALOG_ONLY_UNIQUE
49	416	2002eb	57	CATALOG_ONLY_UNIQUE
50	417	2007co	57	CATALOG_ONLY_UNIQUE
51	418	2007co	56	CATALOG_ONLY_UNIQUE
52	419	2007co	64	CATALOG_ONLY_UNIQUE
53	420	1992P	50	CATALOG_ONLY_UNIQUE
54	423	2005na	5	CATALOG_ONLY_UNIQUE
55	424	2005na	64	CATALOG_ONLY_UNIQUE
56	425	2005na	57	CATALOG_ONLY_UNIQUE
57	428	2010ii	51	CATALOG_ONLY_UNIQUE
58	430	PSNJ0252467	150	CATALOG_ONLY_UNIQUE
59	431	2009aa	5	CATALOG_ONLY_UNIQUE
60	432	2011hb	56	CATALOG_ONLY_UNIQUE
61	433	2005eq	57	CATALOG_ONLY_UNIQUE
62	434	2005eq	5	CATALOG_ONLY_UNIQUE
63	435	2005eq	64	CATALOG_ONLY_UNIQUE
64	437	2009ad	65	CATALOG_ONLY_UNIQUE
65	438	2009ad	5	CATALOG_ONLY_UNIQUE
66	440	2008ar	57	CATALOG_ONLY_UNIQUE
67	441	2008ar	5	CATALOG_ONLY_UNIQUE
68	442	2008ar	65	CATALOG_ONLY_UNIQUE
69	446	2007is	65	CATALOG_ONLY_UNIQUE
70	448	1998ab	62	CATALOG_ONLY_UNIQUE
71	451	ASASSN-15la	150	CATALOG_ONLY_UNIQUE
72	452	1996C	61	CATALOG_ONLY_UNIQUE
73	453	PS16cvc	150	CATALOG_ONLY_UNIQUE
74	454	ASASSN-15fs	150	CATALOG_ONLY_UNIQUE
75	457	PSNJ0859349	150	CATALOG_ONLY_UNIQUE
76	459	LSQ12gdj	56	CATALOG_ONLY_UNIQUE
77	460	2000cw	57	CATALOG_ONLY_UNIQUE
78	461	2002de	57	CATALOG_ONLY_UNIQUE
79	465	ASASSN-16hh	18	CATALOG_ONLY_UNIQUE
80	467	Gaia16bba	150	CATALOG_ONLY_UNIQUE
81	469	2004ef	57	CATALOG_ONLY_UNIQUE
82	470	2004ef	5	CATALOG_ONLY_UNIQUE
83	471	2004ef	64	CATALOG_ONLY_UNIQUE
84	473	AT2017lm	150	CATALOG_ONLY_UNIQUE
85	479	ASASSN-16hr	150	CATALOG_ONLY_UNIQUE
86	481	1990O	50	CATALOG_ONLY_UNIQUE
87	487	2008gg	51	CATALOG_ONLY_UNIQUE
88	488	2008gg	5	CATALOG_ONLY_UNIQUE
89	489	1999cc	62	CATALOG_ONLY_UNIQUE
90	492	2007bd	51	CATALOG_ONLY_UNIQUE
91	493	2007bd	5	CATALOG_ONLY_UNIQUE
92	494	2007bd	64	CATALOG_ONLY_UNIQUE
93	499	ASASSN-15hg	150	CATALOG_ONLY_UNIQUE
