model	group_index	amplitude_per_0p01_Omega_m_step	fixed_at_profiled_direction_sigma
ALL_EQUAL	0	2.7583057140908203	0.5645856038700332
PLANCK_SPT_EQUAL_ACT_SEPARATE	0	2.3012333376813663	0.7178937218286187
PLANCK_SPT_EQUAL_ACT_SEPARATE	1	4.361127886905387	0.8222358749181359
PLANCK_ACT_EQUAL_SPT_SEPARATE	0	2.8216435850794985	0.5773277143948217
PLANCK_ACT_EQUAL_SPT_SEPARATE	1	2.465168544131321	0.8401541800917824
SPT_ACT_EQUAL_PLANCK_SEPARATE	0	2.0422953470269505	0.7597298306407949
SPT_ACT_EQUAL_PLANCK_SEPARATE	1	3.5568566056388664	0.6695739545454009
ALL_SEPARATE	0	2.105220895752727	0.7944985374691726
ALL_SEPARATE	1	2.758042718539775	1.0533817597090755
ALL_SEPARATE	2	4.387511588841395	0.827295258257192
