STAGE	PATH	HISTORICAL_SHA256	CURRENT_SHA256	BYTE_IDENTICAL	CHANGE_CLASS	SCIENTIFIC_LOGIC_CHANGED	SOURCE_REGISTER	NOTES
HTS59	stages/hts59/CANONICAL_STATE_THROUGH_HTS58.md	b86a5cc59a515e615c928d51d48023fb7395f8dc0280407a36323bdc82bc6cb7	d812a8e2e595aff43006045091d9f5fc3eb226faf26efe6a56ce6bb785579c37	NO	NON_SCIENTIFIC_PORTABILITY_EDIT	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Current portable file differs only within the recorded non-scientific change boundary.
HTS59	stages/hts59/HTS58_CANONICALIZATION_AUDIT.md	c580b7bdfd2a9afa1a19db8a76592153404bcd7ac6d01156604d742ea1b0bb5a	c580b7bdfd2a9afa1a19db8a76592153404bcd7ac6d01156604d742ea1b0bb5a	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/HTS59_EXECUTION_CONTRACT.md	c7da876dbdb09188785a14fc955e131dfeccc8d257a284e317db15af07ba9e3c	c7da876dbdb09188785a14fc955e131dfeccc8d257a284e317db15af07ba9e3c	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/HTS59_PREFLIGHT_RESULT.md	638b17442577182b2f5bbb51fe7e44403b11c2baeaef15cad2da7b169e24e13c	638b17442577182b2f5bbb51fe7e44403b11c2baeaef15cad2da7b169e24e13c	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/HTS59_PREFLIGHT_TEST_AUDIT.md	15c55d31b8ad32f7b3080b5a54e6baf81e912f7a764bfb7d89048367985eeff0	15c55d31b8ad32f7b3080b5a54e6baf81e912f7a764bfb7d89048367985eeff0	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/HTS59_SELECTION_AUDIT.md	9408e9b31ab70b38cf9fd81210aecee02771de7fcd16c56f4d767488ecf96304	9408e9b31ab70b38cf9fd81210aecee02771de7fcd16c56f4d767488ecf96304	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/HTS59_SOURCE_ADEQUACY_AUDIT.md	8bc0bf4e22742347dd0eea86d8e70445fb618d74a7a62b0847d27a0ec2965e4e	8bc0bf4e22742347dd0eea86d8e70445fb618d74a7a62b0847d27a0ec2965e4e	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/README_RUN.md	27338a5e57e0942f1341e1c209de161acf5c3c5404f9d87670a8f62e33c24f57	efd2121adbf1f49470583375e90126e5e3727ab094506112441ae851c5fe1e6b	NO	NON_SCIENTIFIC_PORTABILITY_EDIT	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Current portable file differs only within the recorded non-scientific change boundary.
HTS59	stages/hts59/audit_hts59.py	d1207075164995116c317e691a6d52047a7128386849bf06bac2d90ab99a21a8	d1207075164995116c317e691a6d52047a7128386849bf06bac2d90ab99a21a8	YES	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Historical and current bytes match.
HTS59	stages/hts59/hts59_common.py	a6d6271c08ff4160f7199ff11fc1b0c8337cbb9f2b404ed7534ecac937230d94	0177ecd3ae839516c075d4c0be0ae15bcbe75b0effcb1bd9b6d0505f629ba32b	NO	NON_SCIENTIFIC_INPUT_MATERIALIZATION_EDIT	NO	stages/hts59/HISTORY_SOURCE_REGISTER.tsv	Current portable file differs only within the recorded non-scientific change boundary.
