source	contract	relative_path	materialized_path	bytes	compressed_bytes	CRC32	sha256	OFFICIAL_ARCHIVE_URL	REDISTRIBUTED
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.1.txt	LCDM/S1920lite_MPP_No_OLE/CLASS.1.txt	4756752	664201	0460815a	94533bf16710e820913de7c65eb361d2aef6899611e2409b799bf0c99b62561e	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.2.txt	LCDM/S1920lite_MPP_No_OLE/CLASS.2.txt	4560864	642174	b26f4950	d8285872ba14d173e40600e28d62ee796a6a3cd5ebe41c9f454c5c89b2f275cb	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.3.txt	LCDM/S1920lite_MPP_No_OLE/CLASS.3.txt	4748832	668001	ce5aca75	40931a2e00207b4b8064cfafdd1b8a06bbbd7e45625db6fc41b5a5c5e06c6116	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.4.txt	LCDM/S1920lite_MPP_No_OLE/CLASS.4.txt	4769952	676030	67f65b51	fd4f6302d1ceec65928479c81f7b69bd6f69cd84bcdc54b0e430b89f0ce6b6e1	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_No_OLE/CLASS.5.txt	4520736	630864	3388c652	44021f5040a76c2ff5e1d0b1b28651c8f6c1879b532a6a1717343ad97b9ea9f2	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.6.txt	LCDM/S1920lite_MPP_No_OLE/CLASS.6.txt	4772064	657503	bc7d6c1e	52836e0cb328a5d7f385c12a811217839342a78ab2bb818af06c61b7886ce174	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.input.yaml	LCDM/S1920lite_MPP_No_OLE/CLASS.input.yaml	5171	1751	bcc56eae	694d13225ef1763c0c6688a5be826275ca11fa0792e4bfc1c29bf5fb48eb9cde	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS.updated.yaml	LCDM/S1920lite_MPP_No_OLE/CLASS.updated.yaml	6978	2263	16f24c4a	e1dd8e7e0fc67bf177856f67452cc7f5a901b99ff796ad49303d8873bbf2a060	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_BASE	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_No_OLE/CLASS_mean.txt	LCDM/S1920lite_MPP_No_OLE/CLASS_mean.txt	674	297	63b0e61a	058536803e90b37fd65d6f59a959e470722fa9d24e08835f0817c13583dabb6d	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	1762254	477183	475b243d	c8ba6c9ede115a3f249e0a2a38eb1bb67726176540bfea025860bb3bc3bebf5c	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	1784133	482039	7e8318ff	7ab5309342b58b259b3a4745aa4c047e7b703a122c61af1b3914245d88b6648e	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	1744353	471368	aafa2156	74a27689779a00bd98bef6d2bc13e6c1e40122322ac9ecf795bdf80a7101aa18	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	1817946	491722	7c9174eb	011222839c619724f75497093ae2231d9589e7ebd2c00adf1a24abb61fdeb11e	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	1804686	488762	c404b25b	d0bb93436991cfef23f0794d218903675961c65fac6e8acf50080241da40be1d	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.6.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.6.txt	1808001	489019	84137ae2	89519a389aa2e116e3d92c6849b5ecb95aea373d38abcd286fdfbf3055334443	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.7.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.7.txt	1761591	476409	eb5a45ab	ad60ff1e59686c8894a67126dadebc9f1ac3b07f49345a934bd53c3c08990fb8	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.8.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.8.txt	1837173	496927	43c6a3e1	6223ac9ccf2915bb25d3705165ea29a3f502465a62d35143f136ce0adcbbe30b	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.input.yaml	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.input.yaml	5987	2001	682c64e3	1271059344c353bacec968420e73b312250e7463025d7b0509e1c5dbec9b7ef9	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.updated.yaml	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.updated.yaml	8408	2685	570d6498	51f03023c8ab09132caed778229a6d763d4c4f90b97f1402dc700108f8bc0f94	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_ACT	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS_mean.txt	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS_mean.txt	763	344	30868ec6	fca7b3ba542e9d9f80d3432814339723bb3f77ee2205982575602b522eecc382	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.1.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.1.txt	37419084	6769013	1474efed	287c11bde832ff0518c30b7fb3ffe4e01ef18da6313d07fcc0177860ca8676d3	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.2.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.2.txt	35215560	6379472	8770b238	7279a3f56c3083fa27737b7301ac7a6f3e0bb6c3e2c0eb4cc1b1a409499c3f9d	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.3.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.3.txt	37045836	6713548	dbee031c	ed2388981988349b791b664d6307566703da364218862c92c40e6879cbed93f2	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.4.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.4.txt	37074996	6712949	d8763eb8	a5da5995d1190154895a150fe4f5dc26f2f3d4e928bab93545f67fd38f198ea9	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.5.txt	35421624	6418017	549e18f7	03e2cc6277162dfda9a2ab496b5d3a11dde4d63b4799984e5aaa7e5c5598de6c	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.6.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.6.txt	37276200	6740439	dc770b37	57383eaf8aa8c7d92fffdb1a0b76a7475c5e96d3d3d7010c796b76fe3177b82c	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.input.yaml	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.input.yaml	10099	2905	a022c97d	6cb419ff7dc05ffeaed280484b5cd02abf0666acd464c72a44c1c8a33b5ec6da	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.updated.yaml	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.updated.yaml	13538	3760	2573f17a	c472076497b6c934efbd6029383dcb9c54ad9f3ca1943f2e9781c263693085ba	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS_mean.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS_mean.txt	1141	518	a803eecc	410b8127790f7d8b2bbaf615073b4a16e9dbc6b3a944a7f8a643724b9ee20acb	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	29989234	5882289	75b4f955	3c312dc82ad8e8141a1669f1e8117f0d92e661562b40909e7909cd3c26c8ab63	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	29903052	5841490	af597a26	a8ea89efd63a7a214de0cdd1e950576abed39c2ab987c95f72eebc6279a9e6e7	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	29874675	5830188	3aed3e36	2b36cd615da67e0d5605d64125ae56841178ef9283ff440d59d67995a25672d6	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	29723331	5793633	278706a6	f0041b0498bb1b339be0be26a9223c919cd7fe78a1f564335768c5ccc2a83f7d	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	29953500	5858402	ff09ff6d	09a6f39cc8eeb4570ac289515ee9a45cb877e67eadf6428c098f0bb8cf557582	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
