edge	metric	full6d_mahalanobis_change	conditional4d_mahalanobis_change	conditional_fraction_change	baryon_tilt_share_change	order_sensitivity_change	max_canonical_correlation_change	classification_primary	classification_sensitivity	classification_stable
BASE_TO_ACT	ARITHMETIC_COVARIANCE_POOL	-0.03540839508966709	-0.027346280465218253	0.003110975508844316	0.00894972971462804	0.0003468050866178851	0.007118313465018566	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_ACT	PRECISION_MEAN_POOL	-0.021661168601093017	-0.002080451468621458	0.007898998097379817	0.008021272028875925	-0.01528832507457406	0.0009662088159991811	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_PR4	ARITHMETIC_COVARIANCE_POOL	-0.028320312962266003	-0.0372270930116152	-0.009751427471911822	0.010421252660430091	0.012596883700411121	0.007140770012473152	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_PR4	PRECISION_MEAN_POOL	-0.024789828339072173	-0.029542700890420548	-0.0026965355126491453	0.01246238117505305	0.0038063162023831976	-0.0036881445553875736	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
BASE_TO_FULL_ORIGINAL	ARITHMETIC_COVARIANCE_POOL	-0.03016898557054226	-0.03685979847432064	-0.006536828098636094	-0.0017737193140968666	0.007753989075860668	0.0084110345832078	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_FULL_ORIGINAL	PRECISION_MEAN_POOL	-0.12152285103500038	-0.12216379801669675	-0.0014255309405648564	-0.0021284601777155077	0.008298335136779716	0.001179624642510757	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
BASE_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	-0.0329863649856561	-0.042940560168149844	-0.009116495225246712	-0.00228664298018999	0.010226443560324316	0.009547917155433239	ORDER_SENSITIVE	ORDER_SENSITIVE	True
BASE_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.07730946886123391	0.08319498024411232	0.0030001483900066184	0.00628986226666528	-0.006251265180353849	0.006604731193793678	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
ACT_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	-0.019163845513092248	0.039747875924917686	0.031331473195467086	-0.0010146245048903157	0.003427253823843991	0.0017129261986914002	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
ACT_TO_FULL_FIXED	PRECISION_MEAN_POOL	-0.034147966293601506	0.04225673002234265	0.034217170274801534	0.0021932280324958864	9.505688115728586e-05	0.001708995563505844	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
PR4_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	-0.0009486334180326406	0.015290593675964859	0.013915233525046644	-0.006706028995654645	0.01001195904692815	0.00021292534666386698	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
PR4_TO_FULL_FIXED	PRECISION_MEAN_POOL	0.0006479479292191836	0.01766269278847843	0.014516951172489745	-0.0064401161232372495	0.010499995242551251	0.0026468622649933327	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	True
ORIGINAL_TO_FIXED_RELEASE	ARITHMETIC_COVARIANCE_POOL	0.01773427959367846	0.01611810324474655	-0.0008404136921273953	0.013330249909965453	0.0006037776428590713	0.006662806612202088	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	True
ORIGINAL_TO_FIXED_RELEASE	PRECISION_MEAN_POOL	0.018940424987400895	0.017322645182826668	-0.0007294922128894266	0.012731294665914328	-0.0017120147740889435	0.005475487202191376	TAU_AMPLITUDE_DOMINANT	TAU_AMPLITUDE_DOMINANT	True
