edge	metric	burn_fraction_per_chain	directed_forward_baryon_share	directed_reverse_baryon_share	directed_baryon_share_spread	directed_baryon_share_mean	symmetric_baryon_share	symmetric_minus_directed_mean	symmetric_within_directed_share_range	directed_forward_classification	directed_reverse_classification	symmetric_classification	directed_pair_agrees	comparison_classification
BASE_TO_ACT	ARITHMETIC_COVARIANCE_POOL	0.3	0.7031180978217109	0.7931012471561054	0.08998314933439455	0.7481096724889081	0.7136272650470403	-0.03448240744186781	True	ORDER_SENSITIVE	ORDER_SENSITIVE	ORDER_SENSITIVE	True	DIRECTED_CONSENSUS_PRESERVED
BASE_TO_ACT	PRECISION_MEAN_POOL	0.3	0.7031180978217109	0.7931012471561054	0.08998314933439455	0.7481096724889081	0.7795586868139797	0.03144901432507152	True	ORDER_SENSITIVE	ORDER_SENSITIVE	ORDER_SENSITIVE	True	DIRECTED_CONSENSUS_PRESERVED
BASE_TO_ACT	ARITHMETIC_COVARIANCE_POOL	0.5	0.7114098878007524	0.8012241349439815	0.08981424714322905	0.756317011372367	0.7225769947616684	-0.03374001661069859	True	ORDER_SENSITIVE	ORDER_SENSITIVE	ORDER_SENSITIVE	True	DIRECTED_CONSENSUS_PRESERVED
BASE_TO_ACT	PRECISION_MEAN_POOL	0.5	0.7114098878007524	0.8012241349439815	0.08981424714322905	0.756317011372367	0.7875799588428556	0.03126294747048863	True	ORDER_SENSITIVE	ORDER_SENSITIVE	ORDER_SENSITIVE	True	DIRECTED_CONSENSUS_PRESERVED
BASE_TO_PR4	ARITHMETIC_COVARIANCE_POOL	0.3	0.35878006971554505	0.7155206352441857	0.3567405655286407	0.5371503524798654	0.39029231042962353	-0.1468580420502419	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	ORDER_SENSITIVE	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_FORWARD
BASE_TO_PR4	PRECISION_MEAN_POOL	0.3	0.35878006971554505	0.7155206352441857	0.3567405655286407	0.5371503524798654	0.6782947053576093	0.14114435287774385	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_REVERSE
BASE_TO_PR4	ARITHMETIC_COVARIANCE_POOL	0.5	0.36762458048211333	0.7282069477350718	0.36058236725295845	0.5479157641085926	0.4007135630900536	-0.14720220101853893	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	ORDER_SENSITIVE	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_FORWARD
BASE_TO_PR4	PRECISION_MEAN_POOL	0.5	0.36762458048211333	0.7282069477350718	0.36058236725295845	0.5479157641085926	0.6907570865326623	0.14284132242406977	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_REVERSE
BASE_TO_FULL_ORIGINAL	ARITHMETIC_COVARIANCE_POOL	0.3	0.45962556175031255	0.7139661265664495	0.254340564816137	0.586795844158381	0.4931897768400873	-0.09360606731829374	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	ORDER_SENSITIVE	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_FORWARD
BASE_TO_FULL_ORIGINAL	PRECISION_MEAN_POOL	0.3	0.45962556175031255	0.7139661265664495	0.254340564816137	0.586795844158381	0.6987648431819554	0.11196899902357438	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	BARYON_TILT_DOMINANT	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_REVERSE
BASE_TO_FULL_ORIGINAL	ARITHMETIC_COVARIANCE_POOL	0.5	0.4553319170933467	0.7125511452836946	0.25721922819034787	0.5839415311885207	0.49141605752599044	-0.09252547366253022	True	ORDER_SENSITIVE	BARYON_TILT_DOMINANT	ORDER_SENSITIVE	False	DIRECTED_DISAGREEMENT_SYMMETRIC_MATCHES_FORWARD
