contract	burn_fraction_per_chain	row_count	weight_sum	kish_effective_rows	min_correlation_eigenvalue	max_correlation_eigenvalue	correlation_condition_number	mean_tangent_DESI_sigma	sd_tangent_DESI_sigma	mean_normal_DESI_sigma	sd_normal_DESI_sigma	mean_omega_b	sd_omega_b	mean_tau	sd_tau	mean_n_s	sd_n_s	mean_logA	sd_logA
SPT_BASE	0.3	37291	37701.0	36879.307776134505	0.1370707451093066	2.5499827103360273	18.603405914971514	5.288523824231678	1.9071771679385532	0.029244838393882835	0.09229764911665701	0.02221733962263575	0.00021560099196189743	0.050734799608312356	0.005938313725596677	0.9494450366091638	0.01247052026003259	3.0547188556933986	0.014550176309609393
SPT_ACT	0.3	15116	40481.0	9339.355653328623	0.04196630823848276	3.002254873400679	71.53964690769811	6.538754937104337	1.444326809491392	0.03027161173739819	0.07985948304117271	0.022474120817198098	0.00012631905020302897	0.051428290516192854	0.005863944972755824	0.9670777427365934	0.005827708228890327	3.0415817815963155	0.011292188998807365
SPT_PR4	0.3	158042	159467.0	156593.7207207207	0.08637669998858753	3.311590867651943	38.33893709865606	4.691420507329399	1.1148640796311196	-0.013840175474662946	0.0486698159093247	0.022298754912804263	0.00011184510281799716	0.05376800771530776	0.005397265635882348	0.9636241110560768	0.0035273694093136097	3.0461556888660097	0.010405069146555954
FULL_ORIGINAL	0.3	158880	195441.0	94637.67323067776	0.03495449776723668	3.0890014291541372	88.37207302258824	4.4859443259177985	1.1359370541139346	-0.044402528745173586	0.045461962432730554	0.02237458038045799	9.419637214191425e-05	0.056081932895880246	0.005536511452423415	0.9681624914229126	0.0030973141808570944	3.049033968258958	0.01056428053918817
FULL_FIXED	0.3	11584	31191.0	7157.25475064188	0.06844310162532471	3.3371478793627416	48.75798729331634	4.449233241039115	1.1446993587316978	-0.049205877971041555	0.04585006694287031	0.0223984885606745	9.468583369874416e-05	0.05491444559119619	0.005493515207094166	0.9678857805985694	0.003260066734218008	3.047447385877353	0.010012287366275604
SPT_BASE	0.5	26637	26928.0	26341.077593722755	0.13612781819369982	2.526648785749135	18.560855666943112	5.319861085171518	1.9034842339926321	0.03030944390188354	0.09142371630307643	0.02221500532497784	0.0002136847775695408	0.050686819604945914	0.005888132556236959	0.9494963582561033	0.01251781688163043	3.0543807738153435	0.014510938945637559
SPT_ACT	0.5	10797	28977.0	6679.021365447791	0.042550368256204826	2.9974751826049815	70.4453405563154	6.489100094822366	1.4522332374266849	0.02798847016532752	0.079585093357609	0.022476808009179658	0.00012727357310968415	0.05147370712685951	0.005851281348364009	0.967020351621974	0.00586233416886196	3.0417480739483183	0.01135231707349617
SPT_PR4	0.5	112886	113943.0	111811.62854928304	0.08829071246248721	3.2584940868517793	36.90641966714497	4.689486207856263	1.1140500229322186	-0.014264166006483841	0.048700191105699196	0.022301007684941598	0.000111515394131458	0.05378793165810115	0.005328182112905182	0.9636512565125147	0.0034874657720515147	3.046300400335949	0.010398936032569868
FULL_ORIGINAL	0.5	113486	149505.0	62685.609307034545	0.03492061927784517	3.127806942912084	89.56905712426673	4.50344701004502	1.1388665041484236	-0.04352540977107296	0.04589195937590472	0.02237351932009602	9.451852689921669e-05	0.05612861863753946	0.005541537996061932	0.9681811196420276	0.0031515731345627455	3.049076806966291	0.010550083577304312
FULL_FIXED	0.5	8273	22343.0	5119.836408389313	0.06553810700578759	3.3731220046425197	51.4681024330569	4.461153722872387	1.1572723838565564	-0.04869936914263349	0.04677346540372682	0.02239789344940251	9.478180716006528e-05	0.05486368907013385	0.005609730037354728	0.9678291232345708	0.00324676579378444	3.0472705437989593	0.010133977625318211
