check	observed	required	result
raw_chain_symmetric_metric_and_LOO_reconstruction_max_error	0.0	<=1e-9	PASS
decomposition_and_shapley_closure_max_error	3.552713678800501e-14	<=1e-8	PASS
endpoint_swap_invariance_max_error	0.0	<=1e-10	PASS
SPT_BASE_0.3_weight_share_sum	1.0	1 within 1e-10	PASS
SPT_ACT_0.3_weight_share_sum	1.0	1 within 1e-10	PASS
SPT_PR4_0.3_weight_share_sum	1.0	1 within 1e-10	PASS
FULL_ORIGINAL_0.3_weight_share_sum	1.0	1 within 1e-10	PASS
FULL_FIXED_0.3_weight_share_sum	1.0	1 within 1e-10	PASS
SPT_BASE_0.5_weight_share_sum	1.0	1 within 1e-10	PASS
SPT_ACT_0.5_weight_share_sum	1.0	1 within 1e-10	PASS
SPT_PR4_0.5_weight_share_sum	1.0	1 within 1e-10	PASS
FULL_ORIGINAL_0.5_weight_share_sum	1.0	1 within 1e-10	PASS
FULL_FIXED_0.5_weight_share_sum	1.0	1 within 1e-10	PASS
