edge	metric	edge_type	interpretation_boundary	burn_fraction_per_chain	endpoint_a	endpoint_b	swap_invariance_max_error	full6d_distance_squared	tn2d_distance_squared	full6d_mahalanobis	tn2d_mahalanobis	conditional_fraction_full_distance_squared	decomposition_closure_error	metric_correlation_condition_number	conditional_correlation_condition_number	metric_min_correlation_eigenvalue	conditional_min_eigenvalue	conditional4d_distance_squared	conditional4d_mahalanobis	baryon_tilt_marginal_distance_squared	tau_amplitude_given_baryon_tilt_distance_squared	tau_amplitude_marginal_distance_squared	baryon_tilt_given_tau_amplitude_distance_squared	baryon_tilt_shapley_distance_squared	tau_amplitude_shapley_distance_squared	baryon_tilt_shapley_share	tau_amplitude_shapley_share	cross_block_interaction_distance_squared	order_sensitivity_fraction	shapley_closure_error	max_block_canonical_correlation	min_block_canonical_correlation	block_pattern_classification	conditional_residual_omega_b	conditional_residual_tau	conditional_residual_n_s	conditional_residual_logA	delta_tangent_DESI_sigma	delta_normal_DESI_sigma	delta_omega_b	delta_tau	delta_n_s	delta_logA
BASE_TO_ACT	ARITHMETIC_COVARIANCE_POOL	STRICT_EXTENSION	Adds ACT primary plus joint ACT+Planck lensing.	0.3	SPT_BASE	SPT_ACT	0.0	7.962652278573674	1.4104098522554678	2.8218171943933	1.1876067750966512	0.822871851876457	-2.6645352591003757e-15	25.562459568254408	10.259508488353337	0.10620009052057705	0.13324575004685918	6.552242426318209	2.5597348351573856	5.78221658217822	0.7700258441399885	2.9827413232591367	3.569501103059072	4.675858842618647	1.8763835836995626	0.7136272650470403	0.2863727349529598	-2.212715479119148	0.3377035425660375	0.0	0.6175280595053932	0.008438258830968558	ORDER_SENSITIVE	0.8548171507455461	0.3745596939748763	1.8951135432630632	-0.7990181907755922	1.250231112872659	0.0010267733435153567	0.00025678119456234647	0.0006934909078804979	0.01763270612742962	-0.01313707409708309
BASE_TO_ACT	PRECISION_MEAN_POOL	STRICT_EXTENSION	Adds ACT primary plus joint ACT+Planck lensing.	0.3	SPT_BASE	SPT_ACT	0.0	17.356892155048964	2.741698394241222	4.166160361177779	1.6558074749925553	0.8420397862849148	-3.552713678800501e-15	45.43486382970412	13.595155933232355	0.06229535023077438	0.10313054110778198	14.615193760807745	3.822982312384893	13.924365244300482	0.6908285165072634	5.752756493693921	8.862437267113824	11.393401255707154	3.2217925051005922	0.7795586868139797	0.22044131318602045	-5.061927977186658	0.3463469633061435	0.0	0.5851110366932178	0.02572373176444937	ORDER_SENSITIVE	0.7562030035673042	0.49620801758374306	2.9719401345782783	-0.885413062795743	1.250231112872659	0.0010267733435153567	0.00025678119456234647	0.0006934909078804979	0.01763270612742962	-0.01313707409708309
BASE_TO_ACT	ARITHMETIC_COVARIANCE_POOL	STRICT_EXTENSION	Adds ACT primary plus joint ACT+Planck lensing.	0.5	SPT_BASE	SPT_ACT	0.0	7.764073996836712	1.351082204900825	2.786408799303633	1.1623606174078787	0.8259828273853013	2.6645352591003757e-15	25.735413438787553	10.586520239822098	0.10499531209627307	0.13121710821717764	6.412991791935884	2.5323885546921674	5.7178373888270535	0.6951544031088304	2.8630685078663816	3.5499232840695023	4.633880336448278	1.779111455487606	0.7225769947616684	0.2774230052383316	-2.167914104757551	0.3380503476526554	0.0	0.6246463729704118	0.0010980666819635004	ORDER_SENSITIVE	0.8765213966382631	0.3655619979666861	1.871736192564967	-0.7833449679244678	1.1692390096508474	-0.002320973736556018	0.0002618026842018187	0.0007868875219135957	0.017523993365870627	-0.012632699867025199
BASE_TO_ACT	PRECISION_MEAN_POOL	STRICT_EXTENSION	Adds ACT primary plus joint ACT+Planck lensing.	0.5	SPT_BASE	SPT_ACT	0.0	17.176873557268802	2.5775825265153727	4.144499192576686	1.605485137432101	0.8499387843822946	1.7763568394002505e-15	44.9342872546934	13.755465108634178	0.06287446418874003	0.10294930356886005	14.599291030753427	3.8209018609162717	13.914719733029454	0.6845712977239735	5.517792705511569	9.081498325241858	11.498109029135655	3.1011820016177714	0.7875799588428556	0.21242004115714436	-4.833221407787596	0.33105863823156945	0.0	0.586077245509217	0.0166848356046331	ORDER_SENSITIVE	0.7985366443842293	0.47977966042180287	2.934721013260165	-0.8705800147801145	1.1692390096508474	-0.002320973736556018	0.0002618026842018187	0.0007868875219135957	0.017523993365870627	-0.012632699867025199
BASE_TO_PR4	ARITHMETIC_COVARIANCE_POOL	STRICT_EXTENSION	Adds Planck primary plus Planck PR4 lensing.	0.3	SPT_BASE	SPT_PR4	0.0	4.051598396163419	0.3467868319448269	2.0128582652942604	0.5888860942022888	0.9144074022061988	-1.3322676295501878e-15	20.080674047880226	9.932381527289493	0.13192263180505306	0.14492471411525487	3.704811564218593	1.9247887063827533	2.3844140103564344	1.3203975538621586	3.197306644364503	0.5075049198540902	1.4459594651052623	2.258852099113331	0.39029231042962353	0.6097076895703765	-1.8769090905023442	0.5066139148964289	0.0	0.5804173456273233	0.042346142166343456	ORDER_SENSITIVE	0.1248155763359074	0.3433964002249925	1.521749342136916	-0.8746255175820579	-0.5971033169022792	-0.04308501386854578	8.14152901685121e-05	0.003033208106995401	0.01417907444691302	-0.00856316682738889
BASE_TO_PR4	PRECISION_MEAN_POOL	STRICT_EXTENSION	Adds Planck primary plus Planck PR4 lensing.	0.3	SPT_BASE	SPT_PR4	0.0	14.791643410644431	0.6039215978889174	3.8459905629947184	0.7771239269826387	0.959171433415281	0.0	28.479253206984687	12.701558729275813	0.10759696019162446	0.12164929698279962	14.187721812755514	3.766659237674084	10.964433513185936	3.223288299569578	5.905242152583996	8.282479660171518	9.623456586678728	4.564265226076787	0.6782947053576093	0.3217052946423908	-2.6819538530144182	0.1890334395056435	1.7763568394002505e-15	0.2870251649761407	0.032959614342635044	BARYON_TILT_DOMINANT	0.045007846992844325	0.30323021549190204	2.8842745477319887	-0.9646916370500391	-0.5971033169022792	-0.04308501386854578	8.14152901685121e-05	0.003033208106995401	0.01417907444691302	-0.00856316682738889
BASE_TO_PR4	ARITHMETIC_COVARIANCE_POOL	STRICT_EXTENSION	Adds Planck primary plus Planck PR4 lensing.	0.5	SPT_BASE	SPT_PR4	0.0	3.938390884246065	0.3755020399738116	1.9845379523319944	0.6127822125142109	0.9046559747342869	-8.881784197001252e-16	19.878813725405386	10.20630256396568	0.1319195738642208	0.14339935344207885	3.562888844272254	1.8875616133711381	2.352643064755323	1.210245779516931	3.0601361416633006	0.5027527026089533	1.4276978836821381	2.1351909605901156	0.4007135630900536	0.5992864369099463	-1.8498903621463696	0.51921079859684	0.0	0.5875581156397964	0.03573980244161204	ORDER_SENSITIVE	0.14918988570654074	0.35441147984773125	1.5079821704751035	-0.8409104495018824	-0.6303748773152549	-0.04457360990836738	8.600235996375841e-05	0.0031011120531552333	0.014154898256411363	-0.00808037347939461
BASE_TO_PR4	PRECISION_MEAN_POOL	STRICT_EXTENSION	Adds Planck primary plus Planck PR4 lensing.	0.5	SPT_BASE	SPT_PR4	0.0	14.60157505453285	0.6355350450309281	3.8212007346556462	0.7972045189478846	0.9564748979026318	-1.7763568394002505e-15	27.412276174910772	12.819607973736654	0.11009128326761808	0.12226295094938162	13.966040009501924	3.7371165367836636	10.993744979182583	2.9722950303193407	5.665502773960219	8.300537235541706	9.647141107362145	4.31889890213978	0.6907570865326623	0.3092429134673377	-2.693207743640878	0.1928397557080267	0.0	0.28333702042075315	0.030654704535330986	BARYON_TILT_DOMINANT	0.07324262260536951	0.3180983750203905	2.9041460225549294	-0.9248442346524435	-0.6303748773152549	-0.04457360990836738	8.600235996375841e-05	0.0031011120531552333	0.014154898256411363	-0.00808037347939461
BASE_TO_FULL_ORIGINAL	ARITHMETIC_COVARIANCE_POOL	UNMATCHED_RELEASE_ENDPOINT	Adds ACT and Planck primary likelihoods but not the lensing composition of either partial corner.	0.3	SPT_BASE	FULL_ORIGINAL	0.0	6.903797846475001	1.1495761328010898	2.6275079155875063	1.0721828821619426	0.8334864145264552	0.0	20.515923554501068	11.96383500732468	0.12605429512703392	0.126429902127833	5.754221713673911	2.3987958882893543	4.4092879106180405	1.3449338030558708	4.487662978581509	1.266558735092402	2.837923322855221	2.91629839081869	0.4931897768400873	0.5068102231599126	-3.1427291755256386	0.5461605985840773	0.0	0.6045731497057582	0.04244384400997494	ORDER_SENSITIVE	0.25847515470659177	0.6670527217445159	2.0406186843925997	-0.7262186753890973	-0.8025794983138796	-0.07364736713905642	0.00015724075782223845	0.00534713328756789	0.018717454813748757	-0.005684887434440622
BASE_TO_FULL_ORIGINAL	PRECISION_MEAN_POOL	UNMATCHED_RELEASE_ENDPOINT	Adds ACT and Planck primary likelihoods but not the lensing composition of either partial corner.	0.3	SPT_BASE	FULL_ORIGINAL	0.0	39.53536702278528	2.497896357056918	6.287715564717068	1.5804734597761894	0.9368186880466465	7.105427357601002e-15	50.2836672661547	29.081156575824362	0.05807286909128986	0.058717814273759376	37.03747066572836	6.085841820629941	28.954911291508363	8.082559374219993	14.231417194048824	22.806053471679533	25.88048238159395	11.156988284134409	0.6987648431819554	0.3012351568180446	-6.14885781982883	0.16601721741000292	0.0	0.30441483632748517	0.05254329242756106	BARYON_TILT_DOMINANT	0.2355710918611873	0.6194319733970404	4.435725681606512	-0.7491827715119563	-0.8025794983138796	-0.07364736713905642	0.00015724075782223845	0.00534713328756789	0.018717454813748757	-0.005684887434440622
