PATH	BEFORE_SHA256	AFTER_SHA256	REASON
REPRODUCTION/posterior_attribution/official_fetch_records/phase2c_network_execution/PHASE2C_OFFICIAL_EMPTY_CACHE_FETCH_REPORT.md		f9eb2add53e4005c5d5bb7846910cef2010f5dbb5da8a81be44e0331724fe4e7	Preserve Phase2C network execution evidence byte-for-byte
REPRODUCTION/posterior_attribution/official_fetch_records/phase2c_network_execution/PHASE2C_EVIDENCE_MANIFEST.tsv		5bf0d7ee009d8eb128a569e82de19562def1e1f2606137e9a6e27b4624959609	Preserve Phase2C network execution evidence byte-for-byte
REPRODUCTION/posterior_attribution/official_fetch_records/phase2c_network_execution/PHASE2C_EVIDENCE_MANIFEST.tsv.sha256		66bfeecc72a33f4f942777e778c4606821c49f5a427e54ab6439de901ba6f79a	Preserve Phase2C network execution evidence byte-for-byte
REPRODUCTION/posterior_attribution/official_fetch_records/phase2c_network_execution/PHASE2C_NETWORK_PREFLIGHT.tsv		a71fc5be70e066f3210082d7d8b5716e6c7d968f01373acc42d0bbefcd99e618	Preserve Phase2C network execution evidence byte-for-byte
REPRODUCTION/posterior_attribution/official_fetch_records/phase2c_network_execution/OFFICIAL_ARCHIVE_ACQUISITION_RAW.tsv		ec595c0cef21438c97be92e57b93e7b97a0919c0ea35a49a96198dd2a91a411b	Preserve raw acquisition table byte-for-byte
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_ARCHIVE_VERIFICATION.tsv	9cda081e851bd045edf1513c5c486722b638bbbba241547f61881d2008f1aaf0	8df0b5f3212fd51ce8959b373e8b91e72e18e9743428ac6b1dd611cc73022035	Replace DNS-blocked status with normalized Phase2C acquisition interpretation
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_SELECTED_MEMBER_VERIFICATION_SUMMARY.tsv		47170666b8b34dfe8971c32a4e68804e8e32185ef265908e7019145783f1c1c5	Add transparent summary of the retained raw 51-member verification record
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_SELECTED_MEMBER_VERIFICATION.tsv	fdb098bc7915c8992e795bafd8d15a172e53b8d5d01ac4f5f9a2be458ddfd55a	47170666b8b34dfe8971c32a4e68804e8e32185ef265908e7019145783f1c1c5	Replace obsolete DNS-blocked row table with explicit summary pointers to retained raw execution evidence
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_FETCH_RESULT.txt	186e01f4777934131ff8fbe989219dfa2f32e1d73f4e084d0098ca158f033f83	e65c305c09a54ee161dfc33fcafe1de60851ebd4b2061f999c5d80bd24da53ca	Record successful official empty-cache acquisition with bounded range-access scope
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_FETCH_ENVIRONMENT.json	e4bb2e14ca016d69fa1ce23dfad950e0fc83b6cc8dce6a1ffe2f2b067cffe9fc	b0a18257a0e2385610d0ecaf30439bd3efa411e5ed68375f2d1cb9ffa1a328e6	Replace prior DNS-blocked environment record with Phase2C network execution summary
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_FETCH_EMPTY_CACHE_RUN_LOG.txt	c9c6ca471910348a27bad3bb503b78e41fda38fa0f31f7b23991215269a466f2	73b6de5c383631ceed6867fbfc94878e58e6f1824869ade024730c9930a701e3	Replace failed-attempt log with bounded Phase2C execution summary while preserving old log historically
