SOURCE	CONTRACT	MATERIALIZED_PATH	EXPECTED_BYTES	OBSERVED_BYTES	EXPECTED_SHA256	OBSERVED_SHA256	STATUS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.1.txt	4756752	4756752	94533bf16710e820913de7c65eb361d2aef6899611e2409b799bf0c99b62561e	94533bf16710e820913de7c65eb361d2aef6899611e2409b799bf0c99b62561e	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.2.txt	4560864	4560864	d8285872ba14d173e40600e28d62ee796a6a3cd5ebe41c9f454c5c89b2f275cb	d8285872ba14d173e40600e28d62ee796a6a3cd5ebe41c9f454c5c89b2f275cb	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.3.txt	4748832	4748832	40931a2e00207b4b8064cfafdd1b8a06bbbd7e45625db6fc41b5a5c5e06c6116	40931a2e00207b4b8064cfafdd1b8a06bbbd7e45625db6fc41b5a5c5e06c6116	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.4.txt	4769952	4769952	fd4f6302d1ceec65928479c81f7b69bd6f69cd84bcdc54b0e430b89f0ce6b6e1	fd4f6302d1ceec65928479c81f7b69bd6f69cd84bcdc54b0e430b89f0ce6b6e1	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.5.txt	4520736	4520736	44021f5040a76c2ff5e1d0b1b28651c8f6c1879b532a6a1717343ad97b9ea9f2	44021f5040a76c2ff5e1d0b1b28651c8f6c1879b532a6a1717343ad97b9ea9f2	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.6.txt	4772064	4772064	52836e0cb328a5d7f385c12a811217839342a78ab2bb818af06c61b7886ce174	52836e0cb328a5d7f385c12a811217839342a78ab2bb818af06c61b7886ce174	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.input.yaml	5171	5171	694d13225ef1763c0c6688a5be826275ca11fa0792e4bfc1c29bf5fb48eb9cde	694d13225ef1763c0c6688a5be826275ca11fa0792e4bfc1c29bf5fb48eb9cde	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS.updated.yaml	6978	6978	e1dd8e7e0fc67bf177856f67452cc7f5a901b99ff796ad49303d8873bbf2a060	e1dd8e7e0fc67bf177856f67452cc7f5a901b99ff796ad49303d8873bbf2a060	PASS
ORIGINAL	SPT_BASE	LCDM/S1920lite_MPP_No_OLE/CLASS_mean.txt	674	674	058536803e90b37fd65d6f59a959e470722fa9d24e08835f0817c13583dabb6d	058536803e90b37fd65d6f59a959e470722fa9d24e08835f0817c13583dabb6d	PASS
ORIGINAL	SPT_ACT	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	1762254	1762254	c8ba6c9ede115a3f249e0a2a38eb1bb67726176540bfea025860bb3bc3bebf5c	c8ba6c9ede115a3f249e0a2a38eb1bb67726176540bfea025860bb3bc3bebf5c	PASS
ORIGINAL	SPT_ACT	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	1784133	1784133	7ab5309342b58b259b3a4745aa4c047e7b703a122c61af1b3914245d88b6648e	7ab5309342b58b259b3a4745aa4c047e7b703a122c61af1b3914245d88b6648e	PASS
ORIGINAL	SPT_ACT	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	1744353	1744353	74a27689779a00bd98bef6d2bc13e6c1e40122322ac9ecf795bdf80a7101aa18	74a27689779a00bd98bef6d2bc13e6c1e40122322ac9ecf795bdf80a7101aa18	PASS
ORIGINAL	SPT_ACT	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	1817946	1817946	011222839c619724f75497093ae2231d9589e7ebd2c00adf1a24abb61fdeb11e	011222839c619724f75497093ae2231d9589e7ebd2c00adf1a24abb61fdeb11e	PASS
ORIGINAL	SPT_ACT	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	1804686	1804686	d0bb93436991cfef23f0794d218903675961c65fac6e8acf50080241da40be1d	d0bb93436991cfef23f0794d218903675961c65fac6e8acf50080241da40be1d	PASS
