HISTORICAL_FILE	HISTORICAL_SHA256	CURRENT_FILE	CURRENT_SHA256	CHANGE_CLASSIFICATION	SCIENTIFIC_CODE_CHANGE
CANONICAL_STATE_THROUGH_HTS64.md	0a12cc86ed60e988415e6e821fd31689193e68245b4c61aef3d0e3f672ac8568	CANONICAL_STATE_THROUGH_HTS64.md	d2e1e32b588739165e5735c0eeca93b1d4e60b3a0e785ced6bc92389648d520f	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
HTS64_CANONICALIZATION_AUDIT.md	dafbc46ef6a5b380e359521c2bf438ce2e840c9e26ab45020d2e9d456fd86c63	HTS64_CANONICALIZATION_AUDIT.md	dafbc46ef6a5b380e359521c2bf438ce2e840c9e26ab45020d2e9d456fd86c63	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS65_EXECUTION_CONTRACT.md	b2bd182d03828ab4b9e96be96e66f8fd39213ef04147dbcd3db4ffd3159633ea	HTS65_EXECUTION_CONTRACT.md	b2bd182d03828ab4b9e96be96e66f8fd39213ef04147dbcd3db4ffd3159633ea	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS65_PREFLIGHT_RESULT.md	7ccfcea9dcfddedd1d6f6430f0e786893528687859520b441265b08052601070	HTS65_PREFLIGHT_RESULT.md	7ccfcea9dcfddedd1d6f6430f0e786893528687859520b441265b08052601070	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS65_PREFLIGHT_TEST_AUDIT.md	fef0a790f1baf5a255a9c5414179c307de6094369489f2b7cec5610f4a89bccc	HTS65_PREFLIGHT_TEST_AUDIT.md	fef0a790f1baf5a255a9c5414179c307de6094369489f2b7cec5610f4a89bccc	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS65_SELECTION_AUDIT.md	30233a5c4b087b77a345b208d16819b9cd75e46cf15689c9248dee75e431d8b1	HTS65_SELECTION_AUDIT.md	30233a5c4b087b77a345b208d16819b9cd75e46cf15689c9248dee75e431d8b1	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS65_SOURCE_ADEQUACY_AUDIT.md	c6c0f888d45180d977649c40b83e0883a8157156dadaf0e493cfd2e26cac6d0a	HTS65_SOURCE_ADEQUACY_AUDIT.md	c6c0f888d45180d977649c40b83e0883a8157156dadaf0e493cfd2e26cac6d0a	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
README_RUN.md	2dc3e46f62d576d26db7ddde01357572db9b1f8993c33ed08eb18c661df9ab9a	README_RUN.md	e321b37ffa1af1e8d625c9e3cc88e62eff09379b79dc66d6e17c816aa51e02d3	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
audit_hts65.py	568b1f9617504cb8cd37a24f495057dd83f2bfdc62a2a2bcb930e4b8afc38212	audit_hts65.py	568b1f9617504cb8cd37a24f495057dd83f2bfdc62a2a2bcb930e4b8afc38212	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
hts65_common.py	87c3c3f3f539678726b25776f37c8c8bbec6dab80b581be01ac7f82375e4c086	hts65_common.py	6d8652a820ae76f5a935faa79eec86bfd953671c966051a4625099ac5367ee27	NON_SCIENTIFIC_INPUT_MATERIALIZATION_EDIT	NO
hts65_metric.py	3154f1fb8d75a771c57c3a63088ee56e675148c76c286e4665e2fffceddd3160	hts65_metric.py	3154f1fb8d75a771c57c3a63088ee56e675148c76c286e4665e2fffceddd3160	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts65.py	6d45670b1078396209045db89cb24cb89cd82036110de74687cbbc976630a6b3	run_hts65.py	6d45670b1078396209045db89cb24cb89cd82036110de74687cbbc976630a6b3	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts65.sh	a2d7a44a71923962ef498010fdf6ec6bdd0e094856f6e77eb58e496bf05affa1	run_hts65.sh	e1adacc1fd92b2c616ac83915355b0658d2cc5def9523d118a73e6e4365a5a58	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
selftest_hts65.py	a57168baedb2633383ddafa407d78ae892b8c2c8596fc23e6b1e44772a7abc97	selftest_hts65.py	a57168baedb2633383ddafa407d78ae892b8c2c8596fc23e6b1e44772a7abc97	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
