stage	file	status	max_abs	text_diff
HTS66	HTS66_CLASSIFICATION.tsv	PASS	0	0
HTS66	HTS66_CONDITIONAL_DISTANCE_CONSISTENCY.tsv	PASS	0	0
HTS66	HTS66_CROSS_STAGE_KEY_AUDIT.tsv	PASS	0	0
HTS66	HTS66_FIXED_BLOCK_CONSISTENCY.tsv	PASS	0	0
HTS66	HTS66_INVARIANT_HIERARCHY.tsv	PASS	0	0
HTS66	HTS66_PRIMARY_SYNTHESIS.tsv	PASS	0	0
HTS67	HTS67_CLASSIFICATION.tsv	PASS	2.7696955839928705e-11	0
HTS67	HTS67_DIRECTED_BASELINE_COMPARISON.tsv	PASS	1.5290546606649968e-13	0
HTS67	HTS67_ENDPOINT_6D_SUMMARY.tsv	PASS	5.3589133131026756e-11	0
HTS67	HTS67_SYMMETRIC_METRIC_RESULTS.tsv	PASS	2.7696955839928705e-11	0
HTS67	HTS67_SYMMETRIC_POOLING_SENSITIVITY.tsv	PASS	8.628653347386717e-13	0
