component_id	family	label	is_aggregate	removed_row_count	removed_trace	removed_frobenius_norm	interpretation	solver_status	interpretation_status	rank_change_from_baseline	zero_diagonal_count	zero_precision_row_count	discarded_equation_indices	matched_leave_one_block_out_id	matched_leave_one_block_out_delta_h0	matched_leave_one_block_out_baseline_delta_h0	matched_leave_one_block_out_delta_h0_error	matched_leave_one_block_out_parameter_max_absolute_difference	matched_leave_one_block_out_match_status	covariance_model_status	zero_diagonal_atol	zero_precision_row_l2_atol	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0
host_measurement_diagonal	host_measurement	All host-measurement diagonal variances	0	166	1.723081	0.20329142695401592	Reported host mu_error squared.	OK_INDEFINITE_COVARIANCE	INDEFINITE_ALGEBRAIC_DIAGNOSTIC	23	0	0	[]						NO_EXACT_ROW_BLOCK	INDEFINITE	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	206	49	64	0	-0.06262448340525056	0.13085055315359004	1	OK_INDEFINITE_COVARIANCE		1.8655049911859019	2.0911107017834e-05	73.36771462500751	0.7766004388605836	62.83017183521745	142	0.4424659988395595	9647.037501103154	-19.25617905876764	0.02148847669213747	-0.13103901859911105	0.13103901859911105	-0.16201658567502455	-0.03219958647726173	0.03219958647726173
anchor:00:LMC	anchor	Geometric anchor LMC	0	37	0.021312	0.021312000000000005	Rank-one covariance from the encoded geometric-anchor uncertainty.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.1641261089883505e-17	0.19056129684746959	0	OK		1.8676167621445101	1.9159261714412763e-05	73.7253362780691	0.7468136352394481	118.08042347708844	119	0.9922724661940205	8723.34731097989	-19.24504546402916	0.02038694459787456	0.22658263446247418	0.22658263446247418	0.28014667082611416	-0.06198639009839724	0.06198639009839724
anchor:01:MW	anchor	Geometric anchor MW	0	37	0.0148	0.014800000000000004	Rank-one covariance from the encoded geometric-anchor uncertainty.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-2.699941653908284e-17	0.19066108536207932	0	OK		1.865741550906474	1.6258545399589124e-05	73.40768882340855	0.6847242954566894	117.60546240277628	119	0.9882811966619856	8431.58376659971	-19.254553388828214	0.018467685718531298	-0.0910648201980706	0.0910648201980706	-0.11259250413602763	-0.1240757298811559	0.1240757298811559
anchor:02:N4258	anchor	Geometric anchor N4258	0	92	0.09420799999999999	0.09420800000000001	Rank-one covariance from the encoded geometric-anchor uncertainty.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-2.540362272115499e-17	0.18969055331676338	0	OK		1.865557228179192	1.688785596747104e-05	73.37653983341525	0.6976161677228134	117.65127518184737	119	0.9886661779987174	8523.782873827939	-19.255424600872608	0.01903313465510786	-0.12221381019136857	0.12221381019136857	-0.1511051018331984	-0.11118385761503191	0.11118385761503191
mas:00:ceph_hst_LMC_R22	mas	MAS ceph_hst&LMC&R22	0	37	0.005328	0.005328000000000001	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-2.721594415656607e-17	0.19075802616317722	0	OK		1.8664489816500245	2.2157051494297617e-05	73.52736148013935	0.8012653149898767	117.62551790217826	119	0.9884497302704055	9882.024024885803	-19.250966487164096	0.022196738160191895	0.02860783653272847	0.02860783653272847	0.035370716662352523	-0.007534710347968598	0.007534710347968598
mas:01:ceph_hst_MW_R22	mas	MAS ceph_hst&MW&R22	0	37	3.699999999999999e-05	3.7e-05	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.397441505130641e-17	0.19083260142274566	0	OK		1.8662792646962814	2.2582557678399294e-05	73.49863350325748	0.8086484147215174	117.55974204250421	119	0.9878969919538169	10109.635543784887	-19.251827006768842	0.022441795120474346	-0.00012014034913931937	0.00012014034913931937	-0.00014854147548911775	-0.00015161061632795736	0.00015161061632795736
mas:02:ceph_hst_N4258_R22	mas	MAS ceph_hst&N4258&R22	0	37	0.023125000000000007	0.023124999999999996	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.1524913890096564e-17	0.19023677527277305	0	OK		1.8667570650031493	2.2317612672329472e-05	73.57953942308588	0.804749728643884	118.3925402389227	119	0.9948952961254008	9990.848273245629	-19.249637254881563	0.02231838751797708	0.0807857794792568	0.0807857794792568	0.09988350265631066	-0.004050296693961286	0.004050296693961286
mas:03:ceph_jwst_N4258_SH0ES	mas	MAS ceph_jwst&N4258&SH0ES	0	8	0.0072	0.0072	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.493997267059674e-17	0.19082849383641032	0	OK		1.8670669618780256	2.2294430714201044e-05	73.63206186482748	0.8049035299914351	119.6487176898839	119	1.0054514091586881	10010.204946581289	-19.247520932062294	0.022248317700604255	0.13330822122085806	0.13330822122085806	0.16482222681085307	-0.0038964953464102337	0.0038964953464102337
mas:04:trgb_hst_N4258_CCHP	mas	MAS trgb_hst&N4258&CCHP	0	15	0.024	0.024	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-2.2556851851564868e-17	0.19080137117581264	0	OK		1.8658004399670318	2.2291327307910153e-05	73.41764336603545	0.8025034650921725	118.32726940020687	119	0.9943468016824107	9950.29903698629	-19.254423390232756	0.02224954181805471	-0.08111027757117029	0.08111027757117029	-0.10028471195619654	-0.006296560245672822	0.006296560245672822
mas:05:trgb_hst_N4258_Ex	mas	MAS trgb_hst&N4258&Ex	0	6	0.009600000000000001	0.009600000000000001	Rank-one covariance from the encoded method-anchor-source reference.	OK	PSD_ALGEBRAIC_SENSITIVITY	0	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	183	72	64	0	-3.752788998221889e-17	0.1908280272923638	0	OK		1.8664650731866619	2.2474419345613723e-05	73.53008587614283	0.80704456616877	117.8538036765208	119	0.9903680981220235	9983.551776660086	-19.25084544619223	0.022374026607177532	0.03133223253621509	0.03133223253621509	0.03873915869763635	-0.0017554591690753796	0.0017554591690753796
