equation_index	equation_family	object	method	anchor	source	mas	hms	equation_description	equation_shape	covariance_description	y_value	diagonal_variance	diagonal_standard_deviation
0	host	N7250	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N7250&ceph_hst&R22	Host equation for N7250 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N7250&ceph_hst&R22 variance	31.642	0.018033	0.13428700607281405
1	host	N4536	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N4536&ceph_hst&R22	Host equation for N4536 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N4536&ceph_hst&R22 variance	30.87	0.004785000000000001	0.06917369442208506
2	host	N3972	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3972&ceph_hst&R22	Host equation for N3972 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3972&ceph_hst&R22 variance	31.644	0.010298000000000002	0.10147906187977893
3	host	N4424	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N4424&ceph_hst&R22	Host equation for N4424 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N4424&ceph_hst&R22 variance	30.854	0.018810000000000004	0.13714955340794954
4	host	N4639	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N4639&ceph_hst&R22	Host equation for N4639 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N4639&ceph_hst&R22 variance	31.823	0.009218	0.09601041610158764
5	host	N4038	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N4038&ceph_hst&R22	Host equation for N4038 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N4038&ceph_hst&R22 variance	31.612	0.015809999999999998	0.12573782247199924
6	host	M101	ceph_hst	N4258	R22	ceph_hst&N4258&R22	M101&ceph_hst&R22	Host equation for M101 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS M101&ceph_hst&R22 variance	29.188	0.004149	0.06441273166075166
7	host	N2442	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N2442&ceph_hst&R22	Host equation for N2442 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N2442&ceph_hst&R22 variance	31.459	0.006410000000000001	0.08006247560499238
8	host	N1365	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N1365&ceph_hst&R22	Host equation for N1365 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N1365&ceph_hst&R22 variance	31.378	0.004785000000000001	0.06917369442208506
9	host	N5643	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N5643&ceph_hst&R22	Host equation for N5643 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N5643&ceph_hst&R22 variance	30.553	0.005129999999999999	0.07162401831787993
10	host	N5584	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N5584&ceph_hst&R22	Host equation for N5584 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N5584&ceph_hst&R22 variance	31.773	0.004898	0.06998571282769077
11	host	N1559	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N1559&ceph_hst&R22	Host equation for N1559 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N1559&ceph_hst&R22 variance	31.5	0.006005	0.07749193506423749
12	host	N5468	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N5468&ceph_hst&R22	Host equation for N5468 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N5468&ceph_hst&R22 variance	33.127	0.007733	0.08793747778962051
13	host	N1448	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N1448&ceph_hst&R22	Host equation for N1448 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N1448&ceph_hst&R22 variance	31.298	0.003585	0.059874869519690815
14	host	N2525	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N2525&ceph_hst&R22	Host equation for N2525 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N2525&ceph_hst&R22 variance	32.059	0.012053	0.10978615577567145
15	host	N3370	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3370&ceph_hst&R22	Host equation for N3370 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3370&ceph_hst&R22 variance	32.132	0.004898	0.06998571282769077
16	host	N5861	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N5861&ceph_hst&R22	Host equation for N5861 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N5861&ceph_hst&R22 variance	32.232	0.012053	0.10978615577567145
17	host	N3147	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3147&ceph_hst&R22	Host equation for N3147 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3147&ceph_hst&R22 variance	33.173	0.029873000000000004	0.17283807450906183
18	host	N3021	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3021&ceph_hst&R22	Host equation for N3021 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3021&ceph_hst&R22 variance	32.473	0.027570000000000004	0.1660421633200435
19	host	N1309	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N1309&ceph_hst&R22	Host equation for N1309 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N1309&ceph_hst&R22 variance	32.552	0.005745	0.0757957782465488
20	host	N3982	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3982&ceph_hst&R22	Host equation for N3982 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3982&ceph_hst&R22 variance	31.736	0.007424999999999999	0.08616843969807042
21	host	N1015	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N1015&ceph_hst&R22	Host equation for N1015 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N1015&ceph_hst&R22 variance	32.691	0.007733	0.08793747778962051
22	host	N3447	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3447&ceph_hst&R22	Host equation for N3447 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3447&ceph_hst&R22 variance	31.947	0.0034130000000000002	0.05842088667591412
23	host	N5917	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N5917&ceph_hst&R22	Host equation for N5917 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N5917&ceph_hst&R22 variance	32.377	0.016533	0.12858071395042103
24	host	U9391	ceph_hst	N4258	R22	ceph_hst&N4258&R22	U9391&ceph_hst&R22	Host equation for U9391 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS U9391&ceph_hst&R22 variance	32.861	0.00669	0.08179242018671412
25	host	N3583	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3583&ceph_hst&R22	Host equation for N3583 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3583&ceph_hst&R22 variance	32.814	0.008538000000000002	0.09240129869217208
26	host	N2608	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N2608&ceph_hst&R22	Host equation for N2608 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N2608&ceph_hst&R22 variance	32.62	0.025985	0.16119863522995473
27	host	N7541	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N7541&ceph_hst&R22	Host equation for N7541 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N7541&ceph_hst&R22 variance	32.512	0.01629	0.1276322843170959
28	host	N0691	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N0691&ceph_hst&R22	Host equation for N0691 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N0691&ceph_hst&R22 variance	32.838	0.014193000000000002	0.1191343779099887
29	host	N3254	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N3254&ceph_hst&R22	Host equation for N3254 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N3254&ceph_hst&R22 variance	32.343	0.008049	0.08971621926942754
30	host	N5728	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N5728&ceph_hst&R22	Host equation for N5728 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N5728&ceph_hst&R22 variance	33.101	0.044497999999999996	0.2109454905893937
31	host	N7678	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N7678&ceph_hst&R22	Host equation for N7678 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N7678&ceph_hst&R22 variance	33.196	0.025985	0.16119863522995473
32	host	M1337	ceph_hst	N4258	R22	ceph_hst&N4258&R22	M1337&ceph_hst&R22	Host equation for M1337 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS M1337&ceph_hst&R22 variance	33.06	0.017025	0.13047988350699888
33	host	N4680	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N4680&ceph_hst&R22	Host equation for N4680 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N4680&ceph_hst&R22 variance	32.609	0.04408499999999999	0.20996428267684003
34	host	N7329	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N7329&ceph_hst&R22	Host equation for N7329 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N7329&ceph_hst&R22 variance	33.252	0.016049	0.1266846478465327
35	host	N0976	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N0976&ceph_hst&R22	Host equation for N0976 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N0976&ceph_hst&R22 variance	33.718	0.024753	0.15733086156250464
36	host	N0105	ceph_hst	N4258	R22	ceph_hst&N4258&R22	N0105&ceph_hst&R22	Host equation for N0105 with MAS: ceph_hst&N4258&R22	mu_host = reported value	Variance of host measurement + geometric anchor N4258 distance + MAS ceph_hst&N4258&R22 variance + HMS N0105&ceph_hst&R22 variance	34.538	0.06465	0.2542636427018224
37	host	N7250	ceph_hst	LMC	R22	ceph_hst&LMC&R22	N7250&ceph_hst&R22	Host equation for N7250 with MAS: ceph_hst&LMC&R22	mu_host = reported value	Variance of host measurement + geometric anchor LMC distance + MAS ceph_hst&LMC&R22 variance + HMS N7250&ceph_hst&R22 variance	31.616	0.017103999999999998	0.13078226179417451
