covariance_case	sensitivity_family	policy	status	object_count	covar_rank	covar_condition_number	alpha	alpha_error	chi2	ndof	delta_alpha_from_full	delta_alpha_error_from_full	atol	rtol	case_index	case_digest
full	direct_inverse	upstream_direct_inverse_full_covariance	OK	277	277	35.21941440064872	0.7163834210954623	0.0018926416391806472	206.76063643732408	276	0.0	0.0				
diagonal_only	structural_offdiagonal_ablation	direct_inverse_diagonal_only_covariance	OK	277	277	17.161642567698156	0.7158057373967346	0.0017057323814569354	210.90118305602098	276	-0.0005776836987276823	-0.0001869092577237118				
full	pseudoinverse_cutoff	full_absolute_atol_1e-14	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-14	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-13	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-13	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-12	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-12	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-11	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-11	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-10	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-10	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-9	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-09	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-8	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-08	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-7	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-07	0.0		
full	pseudoinverse_cutoff	full_absolute_atol_1e-6	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	1e-06	0.0		
full	pseudoinverse_cutoff	full_relative_rtol_shape_times_eps	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	0.0	6.150635556423367e-14		
full	pseudoinverse_cutoff	full_relative_rtol_1e-14	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	0.0	1e-14		
full	pseudoinverse_cutoff	full_relative_rtol_1e-12	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	0.0	1e-12		
full	pseudoinverse_cutoff	full_relative_rtol_1e-10	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	0.0	1e-10		
full	pseudoinverse_cutoff	full_relative_rtol_1e-8	OK	277	277		0.7163834210954622	0.0018926416391806468	206.76063643732414	276	-1.1102230246251565e-16	-4.336808689942018e-19	0.0	1e-08		
full	diagonal_row_standardization	direct_inverse_after_equivalent_standardization	OK	277	277		0.7163834210954624	0.0018926416391806472	206.76063643732414	276	1.1102230246251565e-16	0.0				
full	simultaneous_permutation	direct_inverse_after_simultaneous_permutation	OK	277	277	35.219414400648716	0.7163834210954623	0.0018926416391806472	206.76063643732408	276	0.0	0.0			0	f7b02c0a07b2c810fcdcd1de1686db5eede201dc7ebf831d1ab4617ced015b46
full	simultaneous_permutation	direct_inverse_after_simultaneous_permutation	OK	277	277	35.21941440064873	0.7163834210954617	0.0018926416391806468	206.76063643732408	276	-5.551115123125783e-16	-4.336808689942018e-19			1	0a7d917bb42f9c304f9daf6d5ab861b92d5e1e365b48711d3518465d4b34e07f
full	simultaneous_permutation	direct_inverse_after_simultaneous_permutation	OK	277	277	35.219414400648716	0.7163834210954623	0.001892641639180647	206.7606364373241	276	0.0	-2.168404344971009e-19			2	7354820f6ec5bcc40ab76794ec2d60b76a93c5db4455f344865c74992f9a7768
full	simultaneous_permutation	direct_inverse_after_simultaneous_permutation	OK	277	277	35.21941440064873	0.7163834210954624	0.0018926416391806472	206.76063643732414	276	1.1102230246251565e-16	0.0			3	0f74bcb9a05388c0ebdc248d98ab115ed3b99e5af251c4573e15cbf38f9a051e
