parameter_index	name	object	type	is_h0	is_sn1a_absolute_magnitude
0	Distance modulus for IC2006	IC2006	0	0	0
1	Distance modulus for M101	M101	0	0	0
2	Distance modulus for M1337	M1337	0	0	0
3	Distance modulus for M66	M66	0	0	0
4	Distance modulus for M96	M96	0	0	0
5	Distance modulus for N0105	N0105	0	0	0
6	Distance modulus for N0691	N0691	0	0	0
7	Distance modulus for N0976	N0976	0	0	0
8	Distance modulus for N1015	N1015	0	0	0
9	Distance modulus for N1309	N1309	0	0	0
10	Distance modulus for N1316	N1316	0	0	0
11	Distance modulus for N1344	N1344	0	0	0
12	Distance modulus for N1365	N1365	0	0	0
13	Distance modulus for N1374	N1374	0	0	0
14	Distance modulus for N1375	N1375	0	0	0
15	Distance modulus for N1380	N1380	0	0	0
16	Distance modulus for N1399	N1399	0	0	0
17	Distance modulus for N1404	N1404	0	0	0
18	Distance modulus for N1448	N1448	0	0	0
19	Distance modulus for N1559	N1559	0	0	0
20	Distance modulus for N2442	N2442	0	0	0
21	Distance modulus for N2525	N2525	0	0	0
22	Distance modulus for N2608	N2608	0	0	0
23	Distance modulus for N3021	N3021	0	0	0
24	Distance modulus for N3147	N3147	0	0	0
25	Distance modulus for N3254	N3254	0	0	0
26	Distance modulus for N3370	N3370	0	0	0
27	Distance modulus for N3447	N3447	0	0	0
28	Distance modulus for N3583	N3583	0	0	0
29	Distance modulus for N3972	N3972	0	0	0
30	Distance modulus for N3982	N3982	0	0	0
31	Distance modulus for N4038	N4038	0	0	0
32	Distance modulus for N4414	N4414	0	0	0
33	Distance modulus for N4424	N4424	0	0	0
34	Distance modulus for N4457	N4457	0	0	0
35	Distance modulus for N4458	N4458	0	0	0
36	Distance modulus for N4472	N4472	0	0	0
37	Distance modulus for N4489	N4489	0	0	0
38	Distance modulus for N4526	N4526	0	0	0
39	Distance modulus for N4536	N4536	0	0	0
40	Distance modulus for N4552	N4552	0	0	0
41	Distance modulus for N4636	N4636	0	0	0
42	Distance modulus for N4639	N4639	0	0	0
43	Distance modulus for N4649	N4649	0	0	0
44	Distance modulus for N4666	N4666	0	0	0
45	Distance modulus for N4680	N4680	0	0	0
46	Distance modulus for N4697	N4697	0	0	0
47	Distance modulus for N5468	N5468	0	0	0
48	Distance modulus for N5584	N5584	0	0	0
49	Distance modulus for N5643	N5643	0	0	0
50	Distance modulus for N5728	N5728	0	0	0
51	Distance modulus for N5861	N5861	0	0	0
52	Distance modulus for N5917	N5917	0	0	0
53	Distance modulus for N7250	N7250	0	0	0
54	Distance modulus for N7329	N7329	0	0	0
55	Distance modulus for N7541	N7541	0	0	0
56	Distance modulus for N7678	N7678	0	0	0
57	Distance modulus for N7814	N7814	0	0	0
58	Distance modulus for U9391	U9391	0	0	0
59	Distance modulus for group Fornax	Fornax	0	0	0
60	Distance modulus for group Virgo	Virgo	0	0	0
61	Reference absolute magnitude of Type Ia supernovae	SNe Ia M_B	0	0	1
62	SBF absolute magnitude offset (m110 = M110 + M110_offset + mu)	SBF M_offset	0	0	0
63	log_10 (Hubble constant) in km/s/Mpc	log_10(H0)	0	1	0
