host	cell_count	interaction_l2_norm	interaction_rms	maximum_absolute_interaction	maximum_anchor	signed_sum
N7250	3	0.006733907310746578	0.0038878231985575258	0.0054864864864825336	N4258	-7.105427357601002e-15
N4536	3	0.011654698372615792	0.006728843242753621	0.009513513513518035	N4258	-2.1316282072803006e-14
N3972	3	0.00794879522364878	0.004589239062106835	0.006486486486480203	N4258	-7.105427357601002e-15
N4424	3	0.007132814255344083	0.004118132230402507	0.005819819819819827	N4258	-2.1316282072803006e-14
N4639	3	0.00794879522364298	0.004589239062103487	0.006486486486480203	N4258	-2.1316282072803006e-14
N4038	3	0.008364097099050612	0.0048290137116650395	0.006819819819824602	N4258	-2.842170943040401e-14
M101	3	0.006733907310746578	0.0038878231985575258	0.0054864864864825336	N4258	-7.105427357601002e-15
N2442	3	0.008764872226515579	0.005060401339391444	0.007153153153147684	N4258	-7.105427357601002e-15
N1365	3	0.04795336993214587	0.027685891038874123	0.039153153153151266	N4258	-1.4210854715202004e-14
N5643	3	0.008764872226515579	0.005060401339391444	0.007153153153147684	N4258	-7.105427357601002e-15
N5584	3	0.021420994869123983	0.012367417153998325	0.01748648648648299	N4258	-7.105427357601002e-15
N1559	3	0.008364097099039026	0.0048290137116583495	0.006819819819810391	N4258	-1.4210854715202004e-14
N5468	3	0.00794879522364605	0.004589239062105258	0.006486486486480203	N4258	-1.4210854715202004e-14
N1448	3	0.00794879522364878	0.004589239062106835	0.006486486486480203	N4258	-7.105427357601002e-15
N2525	3	0.008764872226515579	0.005060401339391444	0.007153153153147684	N4258	-7.105427357601002e-15
N3370	3	0.007548850727715082	0.004358330999718605	0.006153153153150015	N4258	-1.4210854715202004e-14
N5861	3	0.008764872226515579	0.005060401339391444	0.007153153153147684	N4258	-7.105427357601002e-15
N3147	3	0.1161634973659329	0.06706702647422974	0.09484684684685618	N4258	0.0
N3021	3	0.007548850727715082	0.004358330999718605	0.006153153153150015	N4258	-1.4210854715202004e-14
N1309	3	0.00794879522364878	0.004589239062106835	0.006486486486480203	N4258	-7.105427357601002e-15
N3982	3	0.006733907310746578	0.0038878231985575258	0.0054864864864825336	N4258	-7.105427357601002e-15
N1015	3	0.0884027103734139	0.051039328631183045	0.07218018018018313	N4258	-2.1316282072803006e-14
N3447	3	0.007548850727715082	0.004358330999718605	0.006153153153150015	N4258	-1.4210854715202004e-14
N5917	3	0.007132814255338286	0.004118132230399159	0.0058198198198127216	N4258	-1.4210854715202004e-14
U9391	3	0.007132814255344083	0.004118132230402507	0.005819819819819827	N4258	-2.1316282072803006e-14
N3583	3	0.00794879522364878	0.004589239062106835	0.006486486486480203	N4258	-7.105427357601002e-15
N2608	3	0.00836409709904482	0.004829013711661695	0.006819819819810391	N4258	0.0
N7541	3	0.007548850727715083	0.004358330999718605	0.0061531531531429096	N4258	7.105427357601002e-15
N0691	3	0.00836409709904482	0.004829013711661695	0.006819819819817496	N4258	-2.1316282072803006e-14
N3254	3	0.00794879522364605	0.004589239062105258	0.006486486486480203	N4258	-1.4210854715202004e-14
N5728	3	0.00794879522364878	0.004589239062106835	0.006486486486480203	N4258	-7.105427357601002e-15
N7678	3	0.00794879522364878	0.004589239062106835	0.006486486486480203	N4258	-7.105427357601002e-15
M1337	3	0.09738413542254712	0.056224756801006553	0.07951351351352542	N4258	0.0
N4680	3	0.00794879522364605	0.004589239062105258	0.006486486486480203	N4258	-1.4210854715202004e-14
N7329	3	0.008764872226512526	0.005060401339389681	0.007153153153147684	N4258	-1.4210854715202004e-14
N0976	3	0.00836409709904482	0.004829013711661695	0.006819819819817496	N4258	-2.1316282072803006e-14
N0105	3	0.007548850727715082	0.004358330999718605	0.006153153153150015	N4258	-1.4210854715202004e-14
