equation_index	host	anchor	mu_host	mu_error	interaction	absolute_interaction	nullspace_projected_data	interaction_minus_projection
0	N7250	N4258	31.642	0.128	-0.0054864864864825336	0.0054864864864825336	-0.005486486486375952	-1.0658141036401503e-13
1	N4536	N4258	30.87	0.056	0.009513513513518035	0.009513513513518035	0.009513513513445204	7.283063041541027e-14
2	N3972	N4258	31.644	0.093	-0.006486486486480203	0.006486486486480203	-0.006486486486544152	6.394884621840902e-14
3	N4424	N4258	30.854	0.131	-0.005819819819819827	0.005819819819819827	-0.005819819819869565	4.973799150320701e-14
4	N4639	N4258	31.823	0.087	-0.006486486486480203	0.006486486486480203	-0.0064864864864428995	-3.730349362740526e-14
5	N4038	N4258	31.612	0.119	-0.006819819819824602	0.006819819819824602	-0.006819819819892103	6.750155989720952e-14
6	M101	N4258	29.188	0.05	-0.0054864864864825336	0.0054864864864825336	-0.005486486486486086	3.552713678800501e-15
7	N2442	N4258	31.459	0.069	-0.007153153153147684	0.007153153153147684	-0.007153153153129921	-1.7763568394002505e-14
8	N1365	N4258	31.378	0.056	-0.039153153153151266	0.039153153153151266	-0.03915315315317969	2.842170943040401e-14
9	N5643	N4258	30.553	0.059	-0.007153153153147684	0.007153153153147684	-0.007153153153192093	4.440892098500626e-14
10	N5584	N4258	31.773	0.057	-0.01748648648648299	0.01748648648648299	-0.01748648648647766	-5.329070518200751e-15
11	N1559	N4258	31.5	0.066	-0.006819819819810391	0.006819819819810391	-0.006819819819851247	4.085620730620576e-14
12	N5468	N4258	33.127	0.078	-0.006486486486480203	0.006486486486480203	-0.006486486486481979	1.7763568394002505e-15
13	N1448	N4258	31.298	0.044	-0.006486486486480203	0.006486486486480203	-0.0064864864865175065	3.730349362740526e-14
14	N2525	N4258	32.059	0.102	-0.007153153153147684	0.007153153153147684	-0.007153153153126368	-2.1316282072803006e-14
15	N3370	N4258	32.132	0.057	-0.006153153153150015	0.006153153153150015	-0.006153153153125146	-2.4868995751603507e-14
16	N5861	N4258	32.232	0.102	-0.007153153153147684	0.007153153153147684	-0.0071531531531583425	1.0658141036401503e-14
17	N3147	N4258	33.173	0.168	0.09484684684685618	0.09484684684685618	0.09484684684685796	-1.7763568394002505e-15
18	N3021	N4258	32.473	0.161	-0.006153153153150015	0.006153153153150015	-0.006153153153180213	3.019806626980426e-14
19	N1309	N4258	32.552	0.064	-0.006486486486480203	0.006486486486480203	-0.006486486486510401	3.019806626980426e-14
20	N3982	N4258	31.736	0.076	-0.0054864864864825336	0.0054864864864825336	-0.005486486486443454	-3.907985046680551e-14
21	N1015	N4258	32.691	0.078	0.07218018018018313	0.07218018018018313	0.07218018018017247	1.0658141036401503e-14
22	N3447	N4258	31.947	0.042	-0.006153153153150015	0.006153153153150015	-0.0061531531531127115	-3.730349362740526e-14
23	N5917	N4258	32.377	0.122	-0.0058198198198127216	0.0058198198198127216	-0.005819819819810945	-1.7763568394002505e-15
24	U9391	N4258	32.861	0.071	-0.005819819819819827	0.005819819819819827	-0.0058198198198073925	-1.2434497875801753e-14
25	N3583	N4258	32.814	0.083	-0.006486486486480203	0.006486486486480203	-0.006486486486487308	7.105427357601002e-15
26	N2608	N4258	32.62	0.156	-0.006819819819810391	0.006819819819810391	-0.0068198198198228255	1.2434497875801753e-14
27	N7541	N4258	32.512	0.121	-0.0061531531531429096	0.0061531531531429096	-0.0061531531531375805	-5.329070518200751e-15
28	N0691	N4258	32.838	0.112	-0.006819819819817496	0.006819819819817496	-0.006819819819837036	1.9539925233402755e-14
29	N3254	N4258	32.343	0.08	-0.006486486486480203	0.006486486486480203	-0.006486486486455334	-2.4868995751603507e-14
30	N5728	N4258	33.101	0.207	-0.006486486486480203	0.006486486486480203	-0.006486486486485532	5.329070518200751e-15
31	N7678	N4258	33.196	0.156	-0.006486486486480203	0.006486486486480203	-0.006486486486485532	5.329070518200751e-15
32	M1337	N4258	33.06	0.124	0.07951351351352542	0.07951351351352542	0.07951351351355207	-2.6645352591003757e-14
33	N4680	N4258	32.609	0.206	-0.006486486486480203	0.006486486486480203	-0.006486486486480203	0.0
34	N7329	N4258	33.252	0.12	-0.007153153153147684	0.007153153153147684	-0.00715315315313525	-1.2434497875801753e-14
35	N0976	N4258	33.718	0.152	-0.006819819819817496	0.006819819819817496	-0.0068198198198548	3.730349362740526e-14
36	N0105	N4258	34.538	0.251	-0.006153153153150015	0.006153153153150015	-0.006153153153146462	-3.552713678800501e-15
37	N7250	LMC	31.616	0.128	0.0024324324324282998	0.0024324324324282998	0.002432432432375009	5.3290705182007514e-14
38	N4536	LMC	30.822	0.056	-0.0045675675675767025	0.0045675675675767025	-0.0045675675675518335	-2.4868995751603507e-14
39	N3972	LMC	31.62	0.093	0.003432432432425969	0.003432432432425969	0.0034324324324828126	-5.684341886080802e-14
40	N4424	LMC	30.829	0.131	0.0030990990990886758	0.0030990990990886758	0.003099099099134861	-4.618527782440651e-14
41	N4639	LMC	31.799	0.087	0.0034324324324188638	0.0034324324324188638	0.0034324324323975475	2.1316282072803006e-14
42	N4038	LMC	31.588	0.119	0.0030990990990886758	0.0030990990990886758	0.0030990990991064393	-1.7763568394002505e-14
43	M101	LMC	29.162	0.05	0.0024324324324282998	0.0024324324324282998	0.0024324324324034308	2.4868995751603507e-14
44	N2442	LMC	31.436	0.069	0.0037657657657632626	0.0037657657657632626	0.003765765765734841	2.842170943040401e-14
45	N1365	LMC	31.403	0.056	0.019765765765754395	0.019765765765754395	0.0197657657657615	-7.105427357601002e-15
46	N5643	LMC	30.53	0.059	0.0037657657657632626	0.0037657657657632626	0.003765765765795237	-3.197442310920451e-14
47	N5584	LMC	31.765	0.057	0.008432432432428527	0.008432432432428527	0.008432432432439185	-1.0658141036401503e-14
48	N1559	LMC	31.476	0.066	0.0030990990990886758	0.0030990990990886758	0.003099099099109992	-2.1316282072803006e-14
49	N5468	LMC	33.103	0.078	0.003432432432425969	0.003432432432425969	0.003432432432425969	0.0
50	N1448	LMC	31.274	0.044	0.003432432432425969	0.003432432432425969	0.0034324324324472855	-2.1316282072803006e-14
51	N2525	LMC	32.036	0.102	0.0037657657657632626	0.0037657657657632626	0.003765765765770368	-7.105427357601002e-15
52	N3370	LMC	32.107	0.057	0.0027657657657584878	0.0027657657657584878	0.0027657657657513823	7.105427357601002e-15
53	N5861	LMC	32.209	0.102	0.0037657657657632626	0.0037657657657632626	0.0037657657657774735	-1.4210854715202004e-14
54	N3147	LMC	32.997	0.168	-0.04723423423423867	0.04723423423423867	-0.04723423423422801	-1.0658141036401503e-14
55	N3021	LMC	32.448	0.161	0.0027657657657584878	0.0027657657657584878	0.002765765765794015	-3.552713678800501e-14
56	N1309	LMC	32.528	0.064	0.003432432432425969	0.003432432432425969	0.003432432432450838	-2.4868995751603507e-14
57	N3982	LMC	31.71	0.076	0.0024324324324282998	0.0024324324324282998	0.0024324324324069835	2.1316282072803006e-14
58	N1015	LMC	32.549	0.078	-0.0359009009009128	0.0359009009009128	-0.03590090090088083	-3.197442310920451e-14
59	N3447	LMC	31.922	0.042	0.0027657657657584878	0.0027657657657584878	0.0027657657657726986	-1.4210854715202004e-14
60	N5917	LMC	32.352	0.122	0.0030990990990886758	0.0030990990990886758	0.0030990990991064393	-1.7763568394002505e-14
61	U9391	LMC	32.836	0.071	0.0030990990990886758	0.0030990990990886758	0.0030990990990886758	0.0
62	N3583	LMC	32.79	0.083	0.003432432432425969	0.003432432432425969	0.00343243243244018	-1.4210854715202004e-14
63	N2608	LMC	32.596	0.156	0.003099099099095781	0.003099099099095781	0.0030990990991277556	-3.197442310920451e-14
64	N7541	LMC	32.487	0.121	0.002765765765765593	0.002765765765765593	0.0027657657657762513	-1.0658141036401503e-14
65	N0691	LMC	32.814	0.112	0.0030990990990886758	0.0030990990990886758	0.003099099099095781	-7.105427357601002e-15
66	N3254	LMC	32.319	0.08	0.003432432432425969	0.003432432432425969	0.003432432432429522	-3.552713678800501e-15
