equation_index	equation_description	equation_shape	projected_data_value	absolute_projected_data_value	projected_design_row_l2_norm
0	Host equation for N7250 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.005486486486375952	0.005486486486375952	1.6088190233384619e-15
1	Host equation for N4536 with MAS: ceph_hst&N4258&R22	mu_host = reported value	0.009513513513445204	0.009513513513445204	2.9941678757782045e-15
2	Host equation for N3972 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486544152	0.006486486486544152	3.557463836921743e-15
3	Host equation for N4424 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.005819819819869565	0.005819819819869565	2.9286731534989434e-15
4	Host equation for N4639 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0064864864864428995	0.0064864864864428995	2.571573623889486e-15
5	Host equation for N4038 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006819819819892103	0.006819819819892103	2.7599935900827963e-15
6	Host equation for M101 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.005486486486486086	0.005486486486486086	2.194809672392264e-15
7	Host equation for N2442 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.007153153153129921	0.007153153153129921	2.1307572618024675e-15
8	Host equation for N1365 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.03915315315317969	0.03915315315317969	2.148837719044929e-15
9	Host equation for N5643 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.007153153153192093	0.007153153153192093	2.2878180346432887e-15
10	Host equation for N5584 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.01748648648647766	0.01748648648647766	1.517726160435893e-15
11	Host equation for N1559 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006819819819851247	0.006819819819851247	2.247186657525952e-15
12	Host equation for N5468 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486481979	0.006486486486481979	1.9411402159603587e-15
13	Host equation for N1448 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0064864864865175065	0.0064864864865175065	1.3245352975117922e-15
14	Host equation for N2525 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.007153153153126368	0.007153153153126368	3.0778046467858793e-15
15	Host equation for N3370 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006153153153125146	0.006153153153125146	2.2632023667623083e-15
16	Host equation for N5861 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0071531531531583425	0.0071531531531583425	1.641601011423846e-15
17	Host equation for N3147 with MAS: ceph_hst&N4258&R22	mu_host = reported value	0.09484684684685796	0.09484684684685796	2.582194829306023e-15
18	Host equation for N3021 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006153153153180213	0.006153153153180213	2.222271947879e-15
19	Host equation for N1309 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486510401	0.006486486486510401	1.8398757984949956e-15
20	Host equation for N3982 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.005486486486443454	0.005486486486443454	1.9310641411400546e-15
21	Host equation for N1015 with MAS: ceph_hst&N4258&R22	mu_host = reported value	0.07218018018017247	0.07218018018017247	1.4086544083674738e-15
22	Host equation for N3447 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0061531531531127115	0.0061531531531127115	1.2685167928385218e-15
23	Host equation for N5917 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.005819819819810945	0.005819819819810945	1.5721028082656131e-15
24	Host equation for U9391 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0058198198198073925	0.0058198198198073925	1.340955793201524e-15
25	Host equation for N3583 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486487308	0.006486486486487308	1.510350735730596e-15
26	Host equation for N2608 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0068198198198228255	0.0068198198198228255	3.007034767095368e-15
27	Host equation for N7541 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.0061531531531375805	0.0061531531531375805	2.293357689984964e-15
28	Host equation for N0691 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006819819819837036	0.006819819819837036	1.6032987503966794e-15
29	Host equation for N3254 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486455334	0.006486486486455334	1.7620615643558178e-15
30	Host equation for N5728 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486485532	0.006486486486485532	2.1444862746584723e-15
31	Host equation for N7678 with MAS: ceph_hst&N4258&R22	mu_host = reported value	-0.006486486486485532	0.006486486486485532	2.039770141697981e-15
