permutation_index	permutation_sha256	total_chi2_absolute_difference	duplicate_chi2_absolute_difference	between_chi2_absolute_difference	tolerance	status
1	a5ed0f4d3ec2b2afa480185867b4cc8c19933a36d5c2d55c33698661b38cb576	1.4210854715202004e-13	7.105427357601002e-14	8.731149137020111e-11	2e-08	PASS
2	50b4ccda1f8c4ef42017c0ea47a7918488e5dd4e598832cb2df16a6733c36fe5	1.9895196601282805e-13	3.375077994860476e-14	2.9103830456733704e-11	2e-08	PASS
3	24e6be6698a28c231053516bd1cf7ec33c759d9129165cbca1c026a7b4c4f48c	0.0	9.769962616701378e-14	1.1641532182693481e-10	2e-08	PASS
4	bab7fba4dc1ac928ae60b5d24fda90b244316550d358ca0f2ccc71f2d896e350	5.684341886080802e-14	1.4210854715202004e-13	1.4551915228366852e-10	2e-08	PASS
5	1cbd8a0847521ef444abea2eeabe6d03211696c2c982b32913dfc713e2b0f037	4.831690603168681e-13	7.105427357601002e-14	1.1641532182693481e-10	2e-08	PASS
6	acb820f4dda4e4a6940beb618dac96b1c0de62464c6b7aff838f512a2c703ae5	4.547473508864641e-13	1.2434497875801753e-14	1.1641532182693481e-10	2e-08	PASS
7	8829ddb9e219ebed1a0183aefb3a15b6ec889727c781a9604aa9acb78eb6fddb	0.0	8.881784197001252e-15	2.9103830456733704e-11	2e-08	PASS
8	41ce41b75b169c08a1fc5864facc6523aad1d8642c75ceda2310d32138aeb7d6	0.0	8.526512829121202e-14	5.820766091346741e-11	2e-08	PASS
9	0496779d0c64eeb9d98a359f88b36d99a31b454126cf1cbafc107b09ba59a985	2.8421709430404007e-13	6.572520305780927e-14	8.731149137020111e-11	2e-08	PASS
10	878336048272c69d1d91ab8ad9ee9ced4f1ac99903249b6488f323024abd8eef	4.547473508864641e-13	8.881784197001252e-14	8.731149137020111e-11	2e-08	PASS
11	9724c22626af36cba756840bb37bb159a33315c81521292f3c662855c7e175a6	2.8421709430404007e-13	4.263256414560601e-14	2.9103830456733704e-11	2e-08	PASS
12	67e9c5165ba51a69f4ee75416fab93af8829221412f0d1c40f2fd27485ad58b8	1.1368683772161603e-13	2.078337502098293e-13	5.820766091346741e-11	2e-08	PASS
13	e2b49bf8d11d13fc18d8d1b5c4ac599c4b7b157d9afbe7e75954d792881dd427	2.2737367544323206e-13	2.3092638912203256e-14	5.820766091346741e-11	2e-08	PASS
14	6da08e89621ded070495b0be5babbfd527047a575f0b029e8012c599adaa6710	2.5579538487363607e-13	8.171241461241152e-14	1.1641532182693481e-10	2e-08	PASS
15	d3307d630d2d145bb61ad8d999bac3ff73ca6be4e806bbafc84eca08b9395e80	3.410605131648481e-13	9.592326932761353e-14	2.3283064365386963e-10	2e-08	PASS
