h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
1	2009cz	342	2009cz	56	0.18768000000000001	0.25886900000000002	0.035222139999999999	0.18767562441617186	0.071193375583828156	NO	4.3755838281533954e-06	YES
2	2009cz	343	2009cz	5	0.12275999999999999	0.168487	0.01507059	0.12276233135616153	0.045724668643838465	NO	2.331356161539011e-06	YES
3	ASASSN-15nr	344	ASASSN-15nr	150	0.19081000000000001	0.26238499999999998	0.036410119999999997	0.19081436004661703	0.071570639953382947	NO	4.3600466170246044e-06	YES
4	2004bk	345	2004bk	57	0.16008	0.21418499999999999	0.025625789999999999	0.16008057346224119	0.054104426537758793	NO	5.7346224119347866e-07	YES
5	2007qe	347	2007qe	57	0.14543	0.20480000000000001	0.021149279999999999	0.14542792029043117	0.059372079709568842	NO	2.0797095688362965e-06	YES
6	2007qe	348	2007qe	64	0.18375	0.25771699999999997	0.033765650000000001	0.18375431967711672	0.073962680322883251	NO	4.3196771167264281e-06	YES
7	ATLAS17bas	349	ATLAS17bas	150	0.19111	0.260349	0.036523479999999997	0.19111117183461568	0.069237828165384319	NO	1.1718346156763815e-06	YES
8	ASASSN-15tz	350	ASASSN-15tz	150	0.19792999999999999	0.272706	0.039174859999999999	0.1979264004623941	0.074779599537605906	NO	3.5995376058972628e-06	YES
9	2010ao	351	2010ao	51	0.15848000000000001	0.20805599999999999	0.025116059999999999	0.15848047198314372	0.049575528016856274	NO	4.7198314370722194e-07	YES
10	2006sr	352	2006sr	64	0.12761	0.17877299999999999	0.01628485	0.12761210757604469	0.051160892423955301	NO	2.1075760446853664e-06	YES
11	2000ca	355	2000ca	50	0.13952999999999999	0.18840599999999999	0.019469340000000002	0.13953257684139572	0.048873423158604268	NO	2.5768413957349967e-06	YES
12	PS1-14xw	357	PS1-14xw	56	0.28871999999999998	0.30915300000000001	0.08336143	0.28872379534773368	0.020429204652266331	NO	3.7953477337038244e-06	YES
13	2000bh	359	2000bh	50	0.16155	0.22243399999999999	0.02609848	0.16155023986364117	0.060883760136358822	NO	2.3986364117156711e-07	YES
