h0dn_row_1based	name	h0dn_m_b	h0dn_err_m_b	h0dn_zhel	h0dn_zcmb	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	covariance_diagonal_used_for_mapping	final_dependency_classification	candidate_count	candidate_official_rows_1based	match_status	official_row_1based	official_CID	IDSURVEY	survey_label	official_m_b_corr	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal_sqrt	official_zHEL	official_zCMB	delta_m_b	delta_err_m_b	delta_err_m_b_role	delta_zhel	delta_zcmb
1	2009cz	15.605	0.18768000000000001	0.022270000000000002	0.02315	CATALOG_ONLY_AMBIGUOUS	2	342;343	YES	COVARIANCE_DIAGONAL_REQUIRED	1	342	UNIQUE_MATCH	342	2009cz	56	SOUSA	15.6052	0.25886900000000002	0.18767562441617186	0.022270000000000002	0.02315	0.00019999999999953388	4.3755838281533954e-06	AMBIGUITY_RESOLUTION_INPUT	0	0
2	2009cz	15.605	0.12275999999999999	0.022270000000000002	0.02315	CATALOG_ONLY_AMBIGUOUS	2	342;343	YES	COVARIANCE_DIAGONAL_REQUIRED	1	343	UNIQUE_MATCH	343	2009cz	5	CSP	15.6052	0.168487	0.12276233135616153	0.022270000000000002	0.02315	0.00019999999999953388	2.331356161539011e-06	AMBIGUITY_RESOLUTION_INPUT	0	0
3	ASASSN-15nr	15.58	0.19081000000000001	0.023199999999999998	0.023089999999999999	CATALOG_ONLY_UNIQUE	1	344	NO	CATALOG_ONLY_UNIQUE	1	344	UNIQUE_MATCH	344	ASASSN-15nr	150	FOUND	15.5801	0.26238499999999998	0.19081436004661703	0.023199999999999998	0.023089999999999999	9.9999999999766942e-05	4.3600466170246044e-06	POST_MAPPING_DIAGNOSTIC	0	0
4	2004bk	15.586	0.16008	0.023060000000000001	0.024049999999999998	CATALOG_ONLY_UNIQUE	1	345	NO	CATALOG_ONLY_UNIQUE	1	345	UNIQUE_MATCH	345	2004bk	57	LOSS2	15.5861	0.21418499999999999	0.16008057346224119	0.023060000000000001	0.024049999999999998	9.9999999999766942e-05	5.7346224119347866e-07	POST_MAPPING_DIAGNOSTIC	0	0
5	2007qe	15.788	0.14543	0.023959999999999999	0.022800000000000001	CATALOG_ONLY_UNIQUE	1	347	NO	CATALOG_ONLY_UNIQUE	1	347	UNIQUE_MATCH	347	2007qe	57	LOSS2	15.787599999999999	0.20480000000000001	0.14542792029043117	0.023959999999999999	0.022800000000000001	0.00040000000000084412	2.0797095688362965e-06	POST_MAPPING_DIAGNOSTIC	0	0
6	2007qe	15.698	0.18375	0.023959999999999999	0.022800000000000001	CATALOG_ONLY_UNIQUE	1	348	NO	CATALOG_ONLY_UNIQUE	1	348	UNIQUE_MATCH	348	2007qe	64	CFA3K	15.697900000000001	0.25771699999999997	0.18375431967711672	0.023959999999999999	0.022800000000000001	9.9999999999766942e-05	4.3196771167264281e-06	POST_MAPPING_DIAGNOSTIC	0	0
7	ATLAS17bas	15.319000000000001	0.19111	0.02222	0.023310000000000001	CATALOG_ONLY_UNIQUE	1	349	NO	CATALOG_ONLY_UNIQUE	1	349	UNIQUE_MATCH	349	ATLAS17bas	150	FOUND	15.3185	0.260349	0.19111117183461568	0.02222	0.023310000000000001	0.00050000000000061107	1.1718346156763815e-06	POST_MAPPING_DIAGNOSTIC	0	0
8	ASASSN-15tz	15.701000000000001	0.19792999999999999	0.022859999999999998	0.022200000000000001	CATALOG_ONLY_UNIQUE	1	350	NO	CATALOG_ONLY_UNIQUE	1	350	UNIQUE_MATCH	350	ASASSN-15tz	150	FOUND	15.7013	0.272706	0.1979264004623941	0.022859999999999998	0.022200000000000001	0.00029999999999930083	3.5995376058972628e-06	POST_MAPPING_DIAGNOSTIC	0	0
9	2010ao	15.69	0.15848000000000001	0.02324	0.024219999999999998	CATALOG_ONLY_UNIQUE	1	351	NO	CATALOG_ONLY_UNIQUE	1	351	UNIQUE_MATCH	351	2010ao	51	LOSS1	15.69	0.20805599999999999	0.15848047198314372	0.02324	0.024219999999999998	0	4.7198314370722194e-07	POST_MAPPING_DIAGNOSTIC	0	0
10	2006sr	15.742000000000001	0.12761	0.024250000000000001	0.02307	CATALOG_ONLY_UNIQUE	1	352	NO	CATALOG_ONLY_UNIQUE	1	352	UNIQUE_MATCH	352	2006sr	64	CFA3K	15.741899999999999	0.17877299999999999	0.12761210757604469	0.024250000000000001	0.02307	0.0001000000000015433	2.1075760446853664e-06	POST_MAPPING_DIAGNOSTIC	0	0
