h0dn_row_1based	name	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	catalog_candidate_details_json	covariance_diagonal_used	covariance_assisted_candidate_count	covariance_assisted_candidate_official_rows_1based	final_dependency_classification	final_candidate_count	final_official_row_1based	final_IDSURVEY
1	2009cz	CATALOG_ONLY_AMBIGUOUS	2	342;343	"[{""CID"":""2009cz"",""IDSURVEY"":56,""covariance_assist_pass"":true,""delta_err_m_b"":4.375583828153395e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":342},{""CID"":""2009cz"",""IDSURVEY"":5,""covariance_assist_pass"":false,""delta_err_m_b"":0.06491766864383848,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":343}]"	YES	1	342	COVARIANCE_DIAGONAL_REQUIRED	1	342	56
2	2009cz	CATALOG_ONLY_AMBIGUOUS	2	342;343	"[{""CID"":""2009cz"",""IDSURVEY"":56,""covariance_assist_pass"":false,""delta_err_m_b"":0.06491562441617187,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":342},{""CID"":""2009cz"",""IDSURVEY"":5,""covariance_assist_pass"":true,""delta_err_m_b"":2.331356161539011e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":343}]"	YES	1	343	COVARIANCE_DIAGONAL_REQUIRED	1	343	5
3	ASASSN-15nr	CATALOG_ONLY_UNIQUE	1	344	"[{""CID"":""ASASSN-15nr"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":4.360046617024604e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":344}]"	NO			CATALOG_ONLY_UNIQUE	1	344	150
4	2004bk	CATALOG_ONLY_UNIQUE	1	345	"[{""CID"":""2004bk"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":5.734622411934787e-07,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":345}]"	NO			CATALOG_ONLY_UNIQUE	1	345	57
5	2007qe	CATALOG_ONLY_UNIQUE	1	347	"[{""CID"":""2007qe"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.0797095688362965e-06,""delta_m_b"":0.0004000000000008441,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":347}]"	NO			CATALOG_ONLY_UNIQUE	1	347	57
6	2007qe	CATALOG_ONLY_UNIQUE	1	348	"[{""CID"":""2007qe"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":4.319677116726428e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":348}]"	NO			CATALOG_ONLY_UNIQUE	1	348	64
7	ATLAS17bas	CATALOG_ONLY_UNIQUE	1	349	"[{""CID"":""ATLAS17bas"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.1718346156763815e-06,""delta_m_b"":0.0005000000000006111,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":349}]"	NO			CATALOG_ONLY_UNIQUE	1	349	150
8	ASASSN-15tz	CATALOG_ONLY_UNIQUE	1	350	"[{""CID"":""ASASSN-15tz"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.599537605897263e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":350}]"	NO			CATALOG_ONLY_UNIQUE	1	350	150
9	2010ao	CATALOG_ONLY_UNIQUE	1	351	"[{""CID"":""2010ao"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":4.7198314370722194e-07,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":351}]"	NO			CATALOG_ONLY_UNIQUE	1	351	51
10	2006sr	CATALOG_ONLY_UNIQUE	1	352	"[{""CID"":""2006sr"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":2.1075760446853664e-06,""delta_m_b"":0.0001000000000015433,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":352}]"	NO			CATALOG_ONLY_UNIQUE	1	352	64
11	2000ca	CATALOG_ONLY_UNIQUE	1	355	"[{""CID"":""2000ca"",""IDSURVEY"":50,""covariance_assist_pass"":null,""delta_err_m_b"":2.5768413957349967e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":355}]"	NO			CATALOG_ONLY_UNIQUE	1	355	50
12	PS1-14xw	CATALOG_ONLY_UNIQUE	1	357	"[{""CID"":""PS1-14xw"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":3.7953477337038244e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":357}]"	NO			CATALOG_ONLY_UNIQUE	1	357	56
