h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	source_directory	path	git_blob_sha1	bytes	sha256	SNID	SURVEY	NOBS	observation_line_count	observation_lines_sha256	active_list_occurrences	ignore_list_occurrences	evidence_level	direct_final_measurement_ancestry
1	342	2009cz	56	SOUSA	SWIFT	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2009cz.dat	7a69c4b6042e6514fb976755655ce8ee268e4057	3824	82d47cd581fbd02882a47e546c124321c8bcd5aa97ae059e5882cd00c7b8f58d	2009cz	SWIFT	70	70	066f28b750348d0243bdd62bf37048ddf7da3c9cae34a0ef04254e4a1d0f8886	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2	343	2009cz	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009cz.DAT	82e3579efb90a04ec22ed57d6fc2500a11cb75c1	5914	6a9a67815a58d81022a165da2f9db4544414f24df5fde5c07339a8c04adc4c36	2009cz	CSP	83	83	02f1251528615220bd302ffa7e26b20777452c7fe562ef560fc1789a607aeb91	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
6	348	2007qe	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	7ee96dadfa851019c5ebf5fe177ec8e95785438f	10027	970a60906c18fb43a52f0cd07a83516e08321674666fd2a8036525732c68325a	2007qe	PS1_LOWZ_COMBINED(CFA3K)	118	118	e6f9a0b68af9fd080b6c790f9b21bace8179e2da6c02e77ece3db4f42c77b3cd	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
15	361	2007F	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	2edcd06e3f0340e5915210f310c4cbdda7665d73	10746	1f65c8fae68a9dd8a4a4720bfce3762cde8d9c3056bba7066dfcc64a50257dc9	2007F	PS1_LOWZ_COMBINED(CFA3K)	127	127	692af67d13b1112ba3926cdb3f14e79cb5ce004ca105dafb97ced07c191c210b	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
17	365	2006ac	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT	b6b5d451531892e1c2d78ce9a3decf0e16823ecd	12188	fa8434c5fa64297928bccb6b0cfe5e6f3301b876970ee55d5fb8c1b3a8140e97	2006ac	PS1_LOWZ_COMBINED(CFA3K)	145	145	ef0fc0b1f11033405e2d6e4ac2cbd2c2d623c75cdb60f628683170fadbbb58b2	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
20	368	2009D	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	8d29db799cd6582416b6c5b558897be80294a1aa	11962	4088b3006af02eb972206f18307aba32deb7481f2c767460075224e624e3ebe7	2009D	CSP	176	176	f282673b6f0f0f967685821b03e78bbd6c4a381f4eafae48237e9bd9e52bb0cd	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
28	381	2007cq	56	SOUSA	SWIFT	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	902ad8ca18c24722b17519e1772a61108fb146ee	3542	7b5e9d515e21741d71e4a7792e073a55df57e55f319302e2d0814e0aaf208d43	2007cq	SWIFT	64	64	9ddae0077379a22b28cf7d0279f2702e23095cf99ee7de159316a96c88a2ac2c	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
29	382	2007cq	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	4bf6012dc0dae6778d74f3b34915338f10a9bbdb	9466	4218e642b742d2d352bb10ff9852618c5a474843892a4051a70a106e5a0bd0c8	2007cq	PS1_LOWZ_COMBINED(CFA3K)	111	111	413f4b8cb014d6c6dca7ba3f46f65e195c8a809ca288157c745edf04c434bf3a	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
41	403	2005M	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	6d9fdaa9429ffe884682cd245cef7cefe33ddac9	25283	b254839ffcf7d64ea67b8996a885018c5345e4e5e22290b91fc994324a9b5e5c	2005M	CSP	381	381	d73eaf09500ada07fcf1c2f26b4058a2654b94a648d0be6f075282601132b2b2	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
42	404	2005M	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	1774bcd7d530b684ad57338c5f9663c75fdfea37	2664	e960c987034aebcdd0ee3cc7bf82bf6cbfa1c748c3d0dcd84061af804107f4e1	2005M	PS1_LOWZ_COMBINED(CFA3K)	26	26	2da2350f6edccd5462da9036c7c53389441931f9542c2f5bdb279a4d64648e6c	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
