CID	row_count	h0dn_rows_1based	IDSURVEY_codes	survey_labels	row_lineage_statuses	row_lineage_status_interpretations	unique_resolved_row_count	unique_compatible_candidate_row_count	distinct_resolved_file_sha256_count	distinct_compatible_candidate_sha256_count	pair_count	resolved_pair_count	compatible_candidate_pair_count	pairs_with_byte_identical_observation_lines	maximum_shared_exact_observation_line_count	group_lineage_classification	group_lineage_classification_legacy	group_lineage_interpretation	evidence_level	direct_final_measurement_ancestry
2009cz	2	1;2	56;5	SOUSA;CSP	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	2	2	2	2	1	1	1	0	0	ALL_ROWS_UNIQUE_DISTINCT_PUBLIC_PHOTOMETRY_FILES	ALL_ROWS_UNIQUE_DISTINCT_PUBLIC_PHOTOMETRY_FILES	ALL_ROWS_HAVE_DISTINCT_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007qe	2	5;6	57;64	LOSS2;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007F	2	14;15	51;64	LOSS1;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2006ac	2	16;17	57;64	LOSS2;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2009D	3	20;21;22	5;51;65	CSP;LOSS1;CFA4p2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	3	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007cq	3	28;29;31	56;64;57	SOUSA;CFA3K;LOSS2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	2	2	2	2	3	1	1	0	0	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005M	3	40;41;42	57;5;64	LOSS2;CSP;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	2	2	2	2	3	1	1	0	0	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
1999gp	2	45;46	62;57	CFA2;LOSS2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	1	1	1	1	1	0	0	0		PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007co	3	50;51;52	57;56;64	LOSS2;SOUSA;CFA3K	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	2	2	2	2	3	1	1	0	0	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005na	3	54;55;56	5;64;57	CSP;CFA3K;LOSS2	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE;NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE;NO_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	2	2	2	2	3	1	1	0	0	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	PUBLIC_PHOTOMETRY_LINEAGE_UNRESOLVED	ONE_OR_MORE_ROWS_LACK_A_UNIQUE_FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
