CID	h0dn_row_a_1based	h0dn_row_b_1based	path_a	path_b	file_a_observation_line_count	file_b_observation_line_count	shared_exact_observation_line_count	observation_line_overlap_classification	evidence_level	direct_final_measurement_ancestry
2009cz	1	2	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2009cz.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009cz.DAT	70	83	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007qe	5	6		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT		118		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007F	14	15		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT		127		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2006ac	16	17		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT		145		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2009D	20	21	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT		176			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2009D	20	22	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT		176			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2009D	21	22						UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007cq	28	29	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	64	111	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007cq	28	31	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat		64			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007cq	29	31	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT		111			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005M	40	41		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT		381		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005M	40	42		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT		26		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005M	41	42	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	381	26	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
1999gp	45	46	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT		190			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007co	50	51		Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat		44		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007co	50	52		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT		122		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
