anchor_id	expected_count	actual_active_noncomment_exact_line_count	exact_text_sha256	status	evidence_level	executed_run_to_final_catalog_lineage
DATAPREP_DATALOWZ	1	1	f6cb2757945c2fa29eeb7ccb7282c6f539c90958429e1a6c8b8af97e23ddbfe8	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DATAPREP_DATACSPDR3	1	1	a9a3cdaca42ac0bb0f07a0ce685c94722c022974e3f2661667327f3b8d1d8a4a	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DATAPREP_DATASWIFTNEW	1	1	119f10553d8a96c67316fb5c0334300cafefd6ad3895e3b790b5e3fbcd7099fe	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DATAPREP_DATALOSS	1	1	1e36a0735d2f6d0f53ec4493ffd679d661e776bc67e98045c29a702396975fac	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DATAPREP_DATAKAITDS15	1	1	78657838e9c642096c78afe66e746de40befc12f53dd82ef109826376f91cbf1	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DATAPREP_DATAADAMCSP	1	1	c395ea1b689d334fb10d3ae579ff4a8bf68c8ac46172f96a3c5a565e57e11f33	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DATAPREP_DATACFA3	1	1	e00407f1c39e217b73838bf8600c72a31e0d202bc321e1a24004aedab1f30a75	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
JOINT_REALDATA_LIST	1	1	c8cde93edb8663f4546ad943256252d3111d021dee42048bf7e8d15d9fc62fc0	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
SHARED_SALT2_MODEL	1	1	6a95fddcbf0454a94a16e99f027983a74839d801e951438d1cf96ec4a8a91715	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DUPLICATE_FLAG	1	1	a1f506a5b194452d4e3d8666ca065d9cba40871b30c38a08c99ce2a6adf144c6	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
DUP_SIGINT_REFERENCE	2	2	16eb66b310d3fd5c146ee3a7c118b2e3a55ce33a4c562d943c35277d078a4ceb	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
NOSYS_USES_DUP_SIGINT	2	2	a6f9733b86aee49f73b2f0f5c49b61a476e07e78a3dbc0c9c9c16e604fb10a9f	PASS	CONFIGURATION_LEVEL	NOT_ESTABLISHED
