target_h0dn_row_1based	target_CID	target_IDSURVEY	target_survey_label	path	source_directory	SNID	SURVEY	git_blob_sha1	sha256	used_by_other_main_row
5	2007qe	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	CfA3_DJ20	2007qe	PS1_LOWZ_COMBINED(CFA3K)	7ee96dadfa851019c5ebf5fe177ec8e95785438f	970a60906c18fb43a52f0cd07a83516e08321674666fd2a8036525732c68325a	true
5	2007qe	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	KAIT_DS15	2007qe	KAITM	f7eaebbaf10b58734472cb7ee43d6de827642a2d	24e8622db9beb4a90f3899671ad0b27c83f8f26682f8c750fd03ff13c7d17d3d	false
14	2007F	51	LOSS1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	CfA3_DJ20	2007F	PS1_LOWZ_COMBINED(CFA3K)	2edcd06e3f0340e5915210f310c4cbdda7665d73	1f65c8fae68a9dd8a4a4720bfce3762cde8d9c3056bba7066dfcc64a50257dc9	true
14	2007F	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	LOSS	2007F	KAIT	88e94449a4396263e16e189974be615ebb3f116c	412d1cd63791eba00f7c8ba16bfc9b372ae69b6cb96478f21206cc6dfe523c8d	false
16	2006ac	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT	CfA3_DJ20	2006ac	PS1_LOWZ_COMBINED(CFA3K)	b6b5d451531892e1c2d78ce9a3decf0e16823ecd	fa8434c5fa64297928bccb6b0cfe5e6f3301b876970ee55d5fb8c1b3a8140e97	true
16	2006ac	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006ac.dat	KAIT_DS15	2006ac	KAITM	7fbc6597d2b71bc145b0dcd43fa6930cfd1649d9	b229f1899d532fc34fa048af70b4038889857f11fcd11e0a10c1712d84c525f5	false
21	2009D	51	LOSS1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	CSPDR3_anthony	2009D	CSP	8d29db799cd6582416b6c5b558897be80294a1aa	4088b3006af02eb972206f18307aba32deb7481f2c767460075224e624e3ebe7	true
21	2009D	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	LOSS	2009D	KAIT	d410c0ffcb325d7cfed7cca49989b7632c99368f	94b4d2a23ed1247d948fbba939d47cf6bd06f21ed7cf2ba5519af53dda1bc1ef	false
21	2009D	51	LOSS1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2009D	PS1_LOWZ_COMBINED(CFA4p1)	dcf7c0969e7895ccb080a1390789f89d2dcb0d6f	d322808ae851b39b26fbdac0ebcd8cc99f2414d84ea8b8241655fd48ce666a54	false
22	2009D	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	CSPDR3_anthony	2009D	CSP	8d29db799cd6582416b6c5b558897be80294a1aa	4088b3006af02eb972206f18307aba32deb7481f2c767460075224e624e3ebe7	true
