h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	allowed_directories	active_candidate_count	active_candidate_paths	unparseable_active_files_in_allowed_directories	lineage_status	unique_file_sha256	unique_file_git_blob_sha1	unique_file_nobs	unique_file_observation_line_count
1	342	2009cz	56	SOUSA	SWIFT	1	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2009cz.dat	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	82d47cd581fbd02882a47e546c124321c8bcd5aa97ae059e5882cd00c7b8f58d	7a69c4b6042e6514fb976755655ce8ee268e4057	70	70
2	343	2009cz	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009cz.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	6a9a67815a58d81022a165da2f9db4544414f24df5fde5c07339a8c04adc4c36	82e3579efb90a04ec22ed57d6fc2500a11cb75c1	83	83
5	347	2007qe	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
6	348	2007qe	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	970a60906c18fb43a52f0cd07a83516e08321674666fd2a8036525732c68325a	7ee96dadfa851019c5ebf5fe177ec8e95785438f	118	118
14	360	2007F	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
15	361	2007F	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	1f65c8fae68a9dd8a4a4720bfce3762cde8d9c3056bba7066dfcc64a50257dc9	2edcd06e3f0340e5915210f310c4cbdda7665d73	127	127
16	364	2006ac	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
17	365	2006ac	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	fa8434c5fa64297928bccb6b0cfe5e6f3301b876970ee55d5fb8c1b3a8140e97	b6b5d451531892e1c2d78ce9a3decf0e16823ecd	145	145
20	368	2009D	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	4088b3006af02eb972206f18307aba32deb7481f2c767460075224e624e3ebe7	8d29db799cd6582416b6c5b558897be80294a1aa	176	176
21	369	2009D	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
22	370	2009D	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
28	381	2007cq	56	SOUSA	SWIFT	1	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	7b5e9d515e21741d71e4a7792e073a55df57e55f319302e2d0814e0aaf208d43	902ad8ca18c24722b17519e1772a61108fb146ee	64	64
29	382	2007cq	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	4218e642b742d2d352bb10ff9852618c5a474843892a4051a70a106e5a0bd0c8	4bf6012dc0dae6778d74f3b34915338f10a9bbdb	111	111
31	384	2007cq	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
40	402	2005M	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
41	403	2005M	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	b254839ffcf7d64ea67b8996a885018c5345e4e5e22290b91fc994324a9b5e5c	6d9fdaa9429ffe884682cd245cef7cefe33ddac9	381	381
42	404	2005M	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	e960c987034aebcdd0ee3cc7bf82bf6cbfa1c748c3d0dcd84061af804107f4e1	1774bcd7d530b684ad57338c5f9663c75fdfea37	26	26
