h0dn_row_1based	official_row_1based	CID	IDSURVEY	source_directory	SURVEY	path	git_blob_sha1	bytes	sha256	NOBS	observation_line_count
5	347	2007qe	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	f7eaebbaf10b58734472cb7ee43d6de827642a2d	3105	24e8622db9beb4a90f3899671ad0b27c83f8f26682f8c750fd03ff13c7d17d3d	49	49
14	360	2007F	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	88e94449a4396263e16e189974be615ebb3f116c	5302	412d1cd63791eba00f7c8ba16bfc9b372ae69b6cb96478f21206cc6dfe523c8d	100	100
16	364	2006ac	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006ac.dat	7fbc6597d2b71bc145b0dcd43fa6930cfd1649d9	2127	b229f1899d532fc34fa048af70b4038889857f11fcd11e0a10c1712d84c525f5	31	31
21	369	2009D	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	d410c0ffcb325d7cfed7cca49989b7632c99368f	981	94b4d2a23ed1247d948fbba939d47cf6bd06f21ed7cf2ba5519af53dda1bc1ef	11	11
22	370	2009D	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	dcf7c0969e7895ccb080a1390789f89d2dcb0d6f	5986	d322808ae851b39b26fbdac0ebcd8cc99f2414d84ea8b8241655fd48ce666a54	68	68
31	384	2007cq	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat	80d28ec74388895abfff9a8d7a4972e811eb1bf9	5296	a7d8b2cd14e2acb71248eb00e3318bdac6dbfd70c5d53dde8b4c7a5690ac3f09	91	91
40	402	2005M	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	8d873465ab0ae430fa7d48c12c6130dfa4ca336a	4672	534f4ed04e70f3131621d5e37e64a8818b5515be3f6914121d1fffb011bb3395	79	79
46	411	1999gp	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_1999gp.dat	5f0fbd91ed545b5a4cdccfa45c1622f639674b61	5132	fa5e2538b4d11aa23dd268fe84f8639d13ac3a0855489a96cfe6e8eebcb99ed8	87	87
50	417	2007co	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	08c6a18ece30094b347131c147befe06fa51e605	5456	084e60debe6378c609303082f34b240ea9182528fb7926178cb675e7e56bd764	94	94
56	425	2005na	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005na.dat	016555e5be926a21d0b715eb6529fc0ef6395791	4096	69ad8e36ec1110d405d7ff3cb26252630429a1965d395d8ef2259d95c2a5f907	68	68
61	433	2005eq	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	a1612ac2da177336cb1a4bc4e911aaf513614c14	5109	64091096b926b5b61414772ac2d660e90c18a82e1255c2392e5261e4cdc680a7	87	87
64	437	2009ad	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	428cf70ad657f58a5f77b41f644786985c5e8cbd	6454	a515257adb02f179083084cea0e29040c74a780b56bcf10eb27242c8fcd4d6b4	74	74
66	440	2008ar	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	be2d8a918bec2cd231fac0ac0545b031f796e13d	4288	fd2e2802c87a7e0d4a5866a1d24bf1e2f6b6abb2b7287cb908d28e29aad6e97d	72	72
68	442	2008ar	65	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	d2375ad89833406e381a6ad36842d899de095b1a	8849	5065173479c404ef30c5b6ece2ba6b499a756e6f7254c5cb5448a082cf84e87c	104	104
81	469	2004ef	57	KAIT_DS15	KAITM	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	aa2a872349749bef0154f9472a5ffa24364be06e	5610	1000484b48312b678a9a28f87684ba462b66bdb9a4ff82125c512c3e4e928ee0	97	97
87	487	2008gg	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	830e32c3558f75dc0d2b007128d737675cea0a21	3118	cc0b336e64e6fa1275bc4896395362739a2597a22dbfc8f6541695906bd1e7de	55	55
90	492	2007bd	51	LOSS	KAIT	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	82833cd14394b26f5a3d435a959cc6c88399ff80	1422	010b2f23b608810ba08bd27471c1b1e93fd8b975914ac7c2791860874ddaa0b9	20	20
