h0dn_row_1based	official_row_1based	CID	IDSURVEY	phase1d_lineage_status	inferred_source_directory	inferred_SURVEY_headers	candidate_count	candidate_paths	target_application_status
5	347	2007qe	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
14	360	2007F	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
16	364	2006ac	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006ac.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
21	369	2009D	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
22	370	2009D	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
31	384	2007cq	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
40	402	2005M	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
46	411	1999gp	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_1999gp.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
50	417	2007co	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
56	425	2005na	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005na.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
61	433	2005eq	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
64	437	2009ad	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
66	440	2008ar	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
68	442	2008ar	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
81	469	2004ef	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
87	487	2008gg	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
90	492	2007bd	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
97	504	2006en	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006en.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
109	523	2004as	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004as.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
120	537	2006gr	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006gr.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
136	562	2008hj	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
139	570	2001eh	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
144	575	2007jg	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
147	580	2007O	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
155	593	2003fa	57	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	KAIT_DS15	KAITM	1	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
163	605	2007kk	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
164	606	2007kk	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
178	631	2008cf	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
205	681	2008bz	65	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	PS1_LOWZ_COMBINED_TEXT_DS17	PS1_LOWZ_COMBINED(CFA4p1)	1	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
213	699	2008Y	51	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	LOSS	KAIT	1	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	UNIQUE_ACTIVE_FILE_UNDER_INFERRED_CROSSWALK
