h0dn_row_1based	CID	IDSURVEY	source_directory	raw_SURVEY	used_filter_token	observation_count_for_token	kcor_input_path	kcor_output_path	kcor_output_git_blob_sha1	definition_count	kcor_declared_SURVEY	kcor_filter_name	kcor_MAGSYSTEM	kcor_FILTSYSTEM	kcor_FILTPATH	transmission_basename	public_transmission_path	public_transmission_git_blob_sha1	public_transmission_sha256	mapping_classification	evidence_level	executed_run_lineage
1	2009cz	56	SWIFT	SWIFT	B	13	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT_v6_1.fits	457d0064d4ede26b371b74d8e32e366602102c0f	1	SWIFTNEW	UVOT-B	BD17	COUNT	/project2/rkessler/SURVEYS/PS1MD/ROOT/filters/SWIFT	B_UVOT_rev.txt	Pantheon+_Data/2_CALIBRATION/filters/SWIFT/B_UVOT_rev.txt	a19745c0da113289d0bb8b0ad6a796823324a037	0e733cf59b7f780f4a986e36a2a69fdf8331efe5fd7f0b7f03fd09aa71012d7f	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
1	2009cz	56	SWIFT	SWIFT	N	6	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT_v6_1.fits	457d0064d4ede26b371b74d8e32e366602102c0f	1	SWIFTNEW	UVOT-N	BD17	COUNT	/project2/rkessler/SURVEYS/PS1MD/ROOT/filters/SWIFT	U_UVOT_rev.txt	Pantheon+_Data/2_CALIBRATION/filters/SWIFT/U_UVOT_rev.txt	42f2fec50304508a31df361f3c27ee54dd40b65c	b24c7b82a64d6aeaeaa2a13ff714392e0d1ef7f082ec680975458671387984c7	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
1	2009cz	56	SWIFT	SWIFT	U	13	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT_v6_1.fits	457d0064d4ede26b371b74d8e32e366602102c0f	1	SWIFTNEW	UVOT-U	BD17	COUNT	/project2/rkessler/SURVEYS/PS1MD/ROOT/filters/SWIFT	U_UVOT_rev.txt	Pantheon+_Data/2_CALIBRATION/filters/SWIFT/U_UVOT_rev.txt	42f2fec50304508a31df361f3c27ee54dd40b65c	b24c7b82a64d6aeaeaa2a13ff714392e0d1ef7f082ec680975458671387984c7	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
1	2009cz	56	SWIFT	SWIFT	V	13	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT_v6_1.fits	457d0064d4ede26b371b74d8e32e366602102c0f	1	SWIFTNEW	UVOT-V	BD17	COUNT	/project2/rkessler/SURVEYS/PS1MD/ROOT/filters/SWIFT	V_UVOT_rev.txt	Pantheon+_Data/2_CALIBRATION/filters/SWIFT/V_UVOT_rev.txt	cf3336e6dd369718ae84b9f0697ed10159cbef4a	2167055891996afc7891c5bd45fde11a10849dbc327a8a01d2471d5370ad3952	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
1	2009cz	56	SWIFT	SWIFT	W	13	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT_v6_1.fits	457d0064d4ede26b371b74d8e32e366602102c0f	1	SWIFTNEW	UVOT-W	BD17	COUNT	/project2/rkessler/SURVEYS/PS1MD/ROOT/filters/SWIFT	U_UVOT_rev.txt	Pantheon+_Data/2_CALIBRATION/filters/SWIFT/U_UVOT_rev.txt	42f2fec50304508a31df361f3c27ee54dd40b65c	b24c7b82a64d6aeaeaa2a13ff714392e0d1ef7f082ec680975458671387984c7	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
1	2009cz	56	SWIFT	SWIFT	X	12	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_SWIFT_v6_1.fits	457d0064d4ede26b371b74d8e32e366602102c0f	1	SWIFTNEW	UVOT-X	BD17	COUNT	/project2/rkessler/SURVEYS/PS1MD/ROOT/filters/SWIFT	U_UVOT_rev.txt	Pantheon+_Data/2_CALIBRATION/filters/SWIFT/U_UVOT_rev.txt	42f2fec50304508a31df361f3c27ee54dd40b65c	b24c7b82a64d6aeaeaa2a13ff714392e0d1ef7f082ec680975458671387984c7	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
2	2009cz	5	CSPDR3_anthony	CSP	B	8	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3_v6_1.fits	53c8a34af63d0d34fb513767abb2fdd852c26bff	1	CSP	CSP-B	BD17	COUNT	$SNDATA_ROOT/filters/CSP/CSP_TAMU_20180316	B_tel_ccd_atm_ext_1.2.dat	Pantheon+_Data/2_CALIBRATION/filters/CSP_TAMU_20180316/B_tel_ccd_atm_ext_1.2.dat	ed16304ca664fa79abd264a9a8df8794eedb9bb5	df6b951c5ed536c3afb7978185e2b84d68122c4a404efe1df842f3da0e1bef7c	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
2	2009cz	5	CSPDR3_anthony	CSP	H	12	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3_v6_1.fits	53c8a34af63d0d34fb513767abb2fdd852c26bff	1	CSP	CSP-H	BD17	COUNT	$SNDATA_ROOT/filters/CSP/CSP_TAMU_20180316	H_SWO_TAM_scan_atm.dat	Pantheon+_Data/2_CALIBRATION/filters/CSP_TAMU_20180316/H_SWO_TAM_scan_atm.dat	80f88d19c64aa6896007664497b5696f34a37542	03c70045453ef3990d19ecf4e77298698ad26259fe556bd6a7b96f01bfb32d20	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
2	2009cz	5	CSPDR3_anthony	CSP	J	2	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3_v6_1.fits	53c8a34af63d0d34fb513767abb2fdd852c26bff	1	CSP	CSP-J	BD17	COUNT	$SNDATA_ROOT/filters/CSP/CSP_TAMU_20180316	Jrc1_SWO_TAM_scan_atm.dat	Pantheon+_Data/2_CALIBRATION/filters/CSP_TAMU_20180316/Jrc1_SWO_TAM_scan_atm.dat	d324d6b806211446ce1dbe3483067dfff78a2dfb	3939c6b4c446c675afb69c561f5875350bc51895e632cd7a206d29f02b5c53ab	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
2	2009cz	5	CSPDR3_anthony	CSP	Y	9	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3.input	Pantheon+_Data/2_CALIBRATION/SNANA_kcor/kcor_CSPDR3_v6_1.fits	53c8a34af63d0d34fb513767abb2fdd852c26bff	1	CSP	CSP-Y	BD17	COUNT	$SNDATA_ROOT/filters/CSP/CSP_TAMU_20180316	Y_SWO_TAM_scan_atm.dat	Pantheon+_Data/2_CALIBRATION/filters/CSP_TAMU_20180316/Y_SWO_TAM_scan_atm.dat	02e4c0d6dea47ab2bdc195a3aedb5c4d81980939	caa1c6aa2696af7b3567e68101194bf35e08d856b1ec57f58cabce67a91547b4	PUBLIC_KCOR_TEXT_AND_TRANSMISSION_ASSET_MAPPED	PUBLIC_KCOR_TEXT_AND_TRACKED_ASSET_METADATA	NOT_ESTABLISHED
