h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	candidate_path	source_directory	candidate_source_phase	candidate_evidence_label	direct_final_measurement_ancestry
1	342	2009cz	56	SOUSA	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2009cz.dat	SWIFT	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
2	343	2009cz	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009cz.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
5	347	2007qe	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
6	348	2007qe	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
14	360	2007F	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
15	361	2007F	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
16	364	2006ac	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006ac.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
17	365	2006ac	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
20	368	2009D	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
21	369	2009D	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
22	370	2009D	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
28	381	2007cq	56	SOUSA	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	SWIFT	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
29	382	2007cq	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
31	384	2007cq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
40	402	2005M	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
41	403	2005M	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
42	404	2005M	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
