CID	h0dn_row_a_1based	h0dn_row_b_1based	IDSURVEY_a	IDSURVEY_b	source_directory_a	source_directory_b	candidate_path_a	candidate_path_b	distinct_file_blob	observation_count_a	observation_count_b	byte_exact_observation_row_match_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	ambiguous_rounding_compatible_edge_count	near_payload_edge_count	mutual_unique_near_payload_match_count	primary_pair_classification	evidence_level	physical_exposure_identity	statistical_independence	direct_final_measurement_ancestry
1999gp	45	46	62	57	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_1999gp.dat	YES	190	87	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2001eh	139	140	57	63	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	YES	116	93	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2003fa	155	156	57	63	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	YES	150	92	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2004as	109	110	57	63	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004as.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	YES	91	51	0	1	1	0	1	1	SINGLE_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2004ef	81	82	57	5	KAIT_DS15	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	YES	97	278	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2004ef	81	83	57	64	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	YES	97	32	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2004ef	82	83	5	64	CSPDR3_anthony	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	YES	278	32	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005M	40	41	57	5	KAIT_DS15	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	YES	79	381	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005M	40	42	57	64	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	YES	79	26	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005M	41	42	5	64	CSPDR3_anthony	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	YES	381	26	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005eq	61	62	57	5	KAIT_DS15	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	YES	87	211	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005eq	61	63	57	64	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	YES	87	141	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005eq	62	63	5	64	CSPDR3_anthony	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	YES	211	141	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005hc	172	173	64	5	CfA3_DJ20	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005hc.DAT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005hc.DAT	YES	111	163	0	1	1	0	1	1	SINGLE_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005iq	113	114	64	5	CfA3_DJ20	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005iq.DAT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005iq.DAT	YES	67	154	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2005na	54	55	5	64	CSPDR3_anthony	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	YES	170	92	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
