source_directory_pair	candidate_file_pair_count	observation_pair_opportunity_count	positive_candidate_file_pair_count	mutual_unique_rounding_compatible_match_count
CSPDR3_anthony;CfA3_DJ20	281	4087776	6	6
CSPDR3_anthony;KAIT_DS15	251	3226484	5	5
CSPDR3_anthony;LOSS	108	914757	0	0
CSPDR3_anthony;PS1_LOWZ_COMBINED_TEXT_DS17	138	1808664	0	0
CSPDR3_anthony;SWIFT	47	455210	0	0
CfA3_DJ20;KAIT_DS15	274	1973644	13	13
CfA3_DJ20;LOSS	124	571372	0	0
CfA3_DJ20;SWIFT	52	275176	0	0
KAIT_DS15;PS1_LOWZ_COMBINED_TEXT_DS17	142	893327	0	0
KAIT_DS15;SWIFT	46	218414	0	0
LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	60	246175	0	0
