CID_a	CID_b	h0dn_row_a_1based	h0dn_row_b_1based	source_directory_a	source_directory_b	observation_count_a	observation_count_b	observation_pair_opportunity_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	negative_control_pair_classification
1999gp	2001eh	45	139	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	116	22040	0	0	CROSS_CID_ZERO
1999gp	2001eh	46	140	KAIT_DS15	CfA3_DJ20	87	93	8091	0	0	CROSS_CID_ZERO
1999gp	2003fa	45	155	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	150	28500	0	0	CROSS_CID_ZERO
1999gp	2003fa	46	156	KAIT_DS15	CfA3_DJ20	87	92	8004	0	0	CROSS_CID_ZERO
1999gp	2004as	45	109	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	91	17290	0	0	CROSS_CID_ZERO
1999gp	2004as	46	110	KAIT_DS15	CfA3_DJ20	87	51	4437	0	0	CROSS_CID_ZERO
1999gp	2004ef	45	81	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	97	18430	0	0	CROSS_CID_ZERO
1999gp	2004ef	45	82	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	278	52820	0	0	CROSS_CID_ZERO
1999gp	2004ef	46	82	KAIT_DS15	CSPDR3_anthony	87	278	24186	0	0	CROSS_CID_ZERO
1999gp	2004ef	46	83	KAIT_DS15	CfA3_DJ20	87	32	2784	0	0	CROSS_CID_ZERO
1999gp	2005eq	45	61	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	87	16530	0	0	CROSS_CID_ZERO
1999gp	2005eq	45	62	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	211	40090	0	0	CROSS_CID_ZERO
1999gp	2005eq	46	62	KAIT_DS15	CSPDR3_anthony	87	211	18357	0	0	CROSS_CID_ZERO
1999gp	2005eq	46	63	KAIT_DS15	CfA3_DJ20	87	141	12267	0	0	CROSS_CID_ZERO
1999gp	2005hc	45	173	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	163	30970	0	0	CROSS_CID_ZERO
1999gp	2005hc	46	172	KAIT_DS15	CfA3_DJ20	87	111	9657	0	0	CROSS_CID_ZERO
1999gp	2005hc	46	173	KAIT_DS15	CSPDR3_anthony	87	163	14181	0	0	CROSS_CID_ZERO
1999gp	2005iq	45	114	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	154	29260	0	0	CROSS_CID_ZERO
1999gp	2005iq	46	113	KAIT_DS15	CfA3_DJ20	87	67	5829	0	0	CROSS_CID_ZERO
1999gp	2005iq	46	114	KAIT_DS15	CSPDR3_anthony	87	154	13398	0	0	CROSS_CID_ZERO
1999gp	2005na	45	54	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	170	32300	0	0	CROSS_CID_ZERO
1999gp	2005na	45	56	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	68	12920	0	0	CROSS_CID_ZERO
1999gp	2005na	46	54	KAIT_DS15	CSPDR3_anthony	87	170	14790	0	0	CROSS_CID_ZERO
1999gp	2005na	46	55	KAIT_DS15	CfA3_DJ20	87	92	8004	0	0	CROSS_CID_ZERO
1999gp	2006en	45	97	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	65	12350	0	0	CROSS_CID_ZERO
1999gp	2006en	46	98	KAIT_DS15	CfA3_DJ20	87	58	5046	0	0	CROSS_CID_ZERO
1999gp	2006gr	45	120	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	72	13680	0	0	CROSS_CID_ZERO
1999gp	2006gr	46	121	KAIT_DS15	CfA3_DJ20	87	129	11223	0	0	CROSS_CID_ZERO
1999gp	2007O	45	147	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	34	6460	0	0	CROSS_CID_ZERO
1999gp	2007O	46	148	KAIT_DS15	CfA3_DJ20	87	55	4785	0	0	CROSS_CID_ZERO
1999gp	2007bd	45	90	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	20	3800	0	0	CROSS_CID_ZERO
1999gp	2007bd	45	91	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	110	20900	0	0	CROSS_CID_ZERO
1999gp	2007bd	46	91	KAIT_DS15	CSPDR3_anthony	87	110	9570	0	0	CROSS_CID_ZERO
1999gp	2007bd	46	92	KAIT_DS15	CfA3_DJ20	87	46	4002	0	0	CROSS_CID_ZERO
1999gp	2007co	45	50	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	94	17860	0	0	CROSS_CID_ZERO
1999gp	2007co	46	51	KAIT_DS15	SWIFT	87	44	3828	0	0	CROSS_CID_ZERO
1999gp	2007co	46	52	KAIT_DS15	CfA3_DJ20	87	122	10614	0	0	CROSS_CID_ZERO
1999gp	2007jg	45	144	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	69	13110	0	0	CROSS_CID_ZERO
1999gp	2007jg	45	145	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	113	21470	0	0	CROSS_CID_ZERO
1999gp	2007jg	46	145	KAIT_DS15	CSPDR3_anthony	87	113	9831	0	0	CROSS_CID_ZERO
1999gp	2007kk	45	163	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	85	16150	0	0	CROSS_CID_ZERO
1999gp	2007kk	46	164	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	123	10701	0	0	CROSS_CID_ZERO
1999gp	2008Y	45	213	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	22	4180	0	0	CROSS_CID_ZERO
1999gp	2008Y	46	214	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	66	5742	0	0	CROSS_CID_ZERO
1999gp	2008ar	45	66	PS1_LOWZ_COMBINED_TEXT_DS17	KAIT_DS15	190	72	13680	0	0	CROSS_CID_ZERO
1999gp	2008ar	45	67	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	132	25080	0	0	CROSS_CID_ZERO
1999gp	2008ar	46	67	KAIT_DS15	CSPDR3_anthony	87	132	11484	0	0	CROSS_CID_ZERO
1999gp	2008ar	46	68	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	104	9048	0	0	CROSS_CID_ZERO
1999gp	2008bz	45	204	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	70	13300	0	0	CROSS_CID_ZERO
1999gp	2008bz	46	204	KAIT_DS15	CSPDR3_anthony	87	70	6090	0	0	CROSS_CID_ZERO
1999gp	2008bz	46	205	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	43	3741	0	0	CROSS_CID_ZERO
1999gp	2008cf	45	177	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	96	18240	0	0	CROSS_CID_ZERO
1999gp	2008cf	46	177	KAIT_DS15	CSPDR3_anthony	87	96	8352	0	0	CROSS_CID_ZERO
1999gp	2008cf	46	178	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	31	2697	0	0	CROSS_CID_ZERO
1999gp	2008gg	45	87	PS1_LOWZ_COMBINED_TEXT_DS17	LOSS	190	55	10450	0	0	CROSS_CID_ZERO
1999gp	2008gg	45	88	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	198	37620	0	0	CROSS_CID_ZERO
1999gp	2008gg	46	88	KAIT_DS15	CSPDR3_anthony	87	198	17226	0	0	CROSS_CID_ZERO
1999gp	2008hj	45	135	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	127	24130	0	0	CROSS_CID_ZERO
1999gp	2008hj	46	135	KAIT_DS15	CSPDR3_anthony	87	127	11049	0	0	CROSS_CID_ZERO
1999gp	2008hj	46	136	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	16	1392	0	0	CROSS_CID_ZERO
1999gp	2009ad	45	65	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	190	128	24320	0	0	CROSS_CID_ZERO
1999gp	2009ad	46	64	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	87	74	6438	0	0	CROSS_CID_ZERO
1999gp	2009ad	46	65	KAIT_DS15	CSPDR3_anthony	87	128	11136	0	0	CROSS_CID_ZERO
2001eh	2003fa	139	156	KAIT_DS15	CfA3_DJ20	116	92	10672	0	0	CROSS_CID_ZERO
2001eh	2003fa	140	155	CfA3_DJ20	KAIT_DS15	93	150	13950	0	0	CROSS_CID_ZERO
