asset_role	series	referenced_value	lookup_basename	tracked_match_count	tracked_candidate_paths	availability_classification	execution_identity
COMMON_FITOPTS	ALL_SERIES	$PS1_USERS/dscolnic/PANTHEON+/kcor/fitopt_v6_1/ALL.fitopts	ALL.fitopts	1	Pantheon+_Data/3_SALT2/CALIB_fitopts/ALL.fitopts	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_HEADER_OVERRIDE	ALL_SERIES	$overrides/nominal/HOSTGAL_LOGMASS.txt	HOSTGAL_LOGMASS.txt	1	Pantheon+_Data/1_DATA/header_overrides/HOSTGAL_LOGMASS.txt	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_HEADER_OVERRIDE	ALL_SERIES	$overrides/nominal/HOSTGAL_sSFR.txt	HOSTGAL_sSFR.txt	1	Pantheon+_Data/1_DATA/header_overrides/HOSTGAL_sSFR.txt	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_HEADER_OVERRIDE	ALL_SERIES	$overrides/nominal/REDSHIFT_CMB.txt	REDSHIFT_CMB.txt	1	Pantheon+_Data/1_DATA/header_overrides/REDSHIFT_CMB.txt	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_HEADER_OVERRIDE	ALL_SERIES	$overrides/nominal/REDSHIFT_CMB_ERR.txt	REDSHIFT_CMB_ERR.txt	1	Pantheon+_Data/1_DATA/header_overrides/REDSHIFT_CMB_ERR.txt	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_HEADER_OVERRIDE	ALL_SERIES	$overrides/nominal/VPEC.txt	VPEC.txt	1	Pantheon+_Data/1_DATA/header_overrides/VPEC.txt	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_HEADER_OVERRIDE	ALL_SERIES	$overrides/nominal/VPEC_ERR.txt	VPEC_ERR.txt	1	Pantheon+_Data/1_DATA/header_overrides/VPEC_ERR.txt	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
COMMON_SALT2_MODEL_INFO	ALL_SERIES	$PANTHEONPLUS/submit_trainSALT2/out_train_v7_1_bd17fix/SALT2.MODEL000	SALT2.INFO	10	Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL000/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL001/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL002/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL003/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL004/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL005/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL006/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL007/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL008/SALT2.INFO;Pantheon+_Data/3_SALT2/SALT2_B21trained_withsys/SALT2.MODEL009/SALT2.INFO	TRACKED_PUBLIC_BASENAME_CANDIDATE_NO_EXECUTION_IDENTITY	NOT_ESTABLISHED
DOWNSTREAM_SALT2MU_BASE	ALL_SERIES	/project2/rkessler/SURVEYS/PS1MD/USERS/dscolnic/PANTHEON+/salt2muinputs/SALT2muH0_data_foranthony.input	SALT2muH0_data_foranthony.input	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
LCFIT_BASE_NML	CSPDR3_anthony	$PS1_USERS/dscolnic/PANTHEON+/lcfitting/CSPDR3.nml	CSPDR3.nml	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
LCFIT_BASE_NML	CSP_data2	$PS1_USERS/dscolnic/PANTHEON+/lcfitting/CSP_data2.nml	CSP_data2.nml	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
LCFIT_BASE_NML	CfA3_DJ20	$PS1_USERS/dscolnic/PANTHEON+/lcfitting/CFA3_DJ20.nml	CFA3_DJ20.nml	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
LCFIT_BASE_NML	KAIT_DS15	$PS1_USERS/dscolnic/PANTHEON+/lcfitting/KAIT_DS15.nml	KAIT_DS15.nml	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
LCFIT_BASE_NML	LOSS	$PS1_USERS/dscolnic/PANTHEON+/lcfitting/LOSS.nml	LOSS.nml	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
LCFIT_BASE_NML	PS1_LOWZ_COMBINED_TEXT_DS17	$PS1_USERS/dscolnic/PANTHEON+/lcfitting/LOWZ.nml	LOWZ.nml	0		NOT_TRACKED_IN_FIXED_RELEASE_BY_BASENAME	NOT_ESTABLISHED
